Date,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,LLY,V,UNH,AMGN,PM,LOW,UPS,COP,INTU,PFE,SPGI,MDT,DE,C,USB,SLB,HUM,CME,MU,NSC,AON,TGT,LRCX,ETN,MCO
2021-12-08,171.48269653320312,324.1112365722656,147.07522583007812,176.1580047607422,31.764469146728516,328.2669677734375,356.32000732421875,235.36842346191406,202.78546142578125,438.24224853515625,188.0687255859375,73.28361511230469,237.52334594726562,170.12069702148438,63.8165397644043,654.650634765625,41.850982666015625,457.29315185546875,98.98139953613281,340.9693908691406,53.84133529663086,47.08879470825195,28.38842010498047,422.4011535644531,194.4242706298828,84.04676055908203,262.26025390625,292.21484375,211.40699768066406,68.07727813720703,159.68788146972656,384.6123962402344
2021-12-09,170.97340393066406,322.30181884765625,146.53134155273438,174.17100524902344,30.43105125427246,327.5320739746094,334.6000061035156,234.0004425048828,205.1142120361328,442.4110107421875,187.2232208251953,72.96568298339844,238.82781982421875,171.6331024169922,62.47323989868164,647.3070678710938,42.40465545654297,452.1304626464844,99.32476806640625,341.7814636230469,53.565486907958984,47.22914123535156,27.986265182495117,434.18994140625,191.53823852539062,82.98175811767578,262.6721496582031,286.9324645996094,209.6070098876953,66.6814956665039,158.43795776367188,380.1097717285156
2021-12-10,175.762939453125,331.43585205078125,146.89163208007812,172.21200561523438,30.139617919921875,327.4625549316406,339.010009765625,235.1950225830078,207.0645294189453,447.0003356933594,185.74356079101562,73.40591430664062,241.81607055664062,173.76873779296875,63.28266906738281,659.4067993164062,42.974605560302734,457.94085693359375,98.99020385742188,338.4195556640625,52.33280944824219,47.691444396972656,28.32444190979004,442.74359130859375,192.1776885986328,83.5777587890625,265.0339050292969,285.2235107421875,210.15403747558594,67.3078842163086,160.1953887939453,384.312744140625
2021-12-13,172.12916564941406,328.3976745605469,144.73294067382812,169.5675048828125,28.10655403137207,332.169677734375,322.13665771484375,239.4241943359375,204.7552032470703,446.91632080078125,186.1839141845703,74.73477172851562,237.98594665527344,171.44200134277344,61.15573501586914,650.4486083984375,44.94501495361328,462.9585266113281,99.3687973022461,331.86578369140625,51.87593460083008,46.90718460083008,27.26421356201172,445.7964172363281,191.75698852539062,82.41507720947266,260.4201965332031,285.2915344238281,206.61593627929688,65.30663299560547,159.4811248779297,385.3273010253906
2021-12-14,170.74810791015625,317.6961975097656,142.82781982421875,169.0915069580078,28.28221321105957,331.42486572265625,319.5033264160156,240.24305725097656,203.74606323242188,448.1500549316406,188.25375366210938,74.93856811523438,233.56370544433594,169.3063507080078,60.86296463012695,621.989013671875,45.22185516357422,454.72149658203125,98.33866119384766,329.15545654296875,52.27246856689453,47.311702728271484,27.11797523498535,443.38671875,191.4625244140625,81.37939453125,259.7337341308594,285.62164306640625,207.5952911376953,64.89958953857422,154.913818359375,378.6990661621094
2021-12-15,175.6160125732422,323.8016052246094,145.3428192138672,173.31500244140625,30.400110244750977,339.2899169921875,325.3299865722656,265.194091796875,206.00689697265625,462.095703125,193.106689453125,75.59894561767578,238.26351928710938,170.99322509765625,60.88880157470703,629.7798461914062,47.87621307373047,463.0648498535156,92.39555358886719,324.80194091796875,51.92766189575195,46.841129302978516,26.7889404296875,443.3291015625,191.54664611816406,83.69502258300781,263.4227600097656,287.33062744140625,208.8040771484375,66.62907409667969,159.06764221191406,384.29351806640625
2021-12-16,168.72064208984375,314.36767578125,143.36181640625,168.87100219726562,28.332115173339844,332.5768737792969,308.97332763671875,268.8163757324219,208.0057373046875,460.6750183105469,196.03965759277344,76.94410705566406,234.2853240966797,172.8214111328125,61.74129104614258,616.6199951171875,49.87106704711914,460.9959716796875,89.99189758300781,328.909912109375,52.643131256103516,47.41075134277344,27.14539909362793,439.17236328125,192.75828552246094,80.79314422607422,265.83935546875,286.5732421875,198.33082580566406,64.1418685913086,158.63534545898438,382.5446472167969
2021-12-17,167.62364196777344,313.3034362792969,140.66220092773438,170.0175018310547,27.747249603271484,331.47454833984375,310.8566589355469,257.6220703125,205.58969116210938,455.3098449707031,195.9691619873047,76.18594360351562,229.5207977294922,171.67465209960938,59.08046340942383,603.304443359375,48.429893493652344,452.11114501953125,88.60075378417969,327.7200622558594,51.324256896972656,46.00733947753906,26.478187561035156,435.197998046875,189.1317901611328,81.0960464477539,260.6949462890625,283.9029846191406,197.0337371826172,63.94025421142578,155.12994384765625,380.3416442871094
2021-12-20,166.26223754882812,309.53948974609375,140.54507446289062,167.07899475097656,27.665407180786133,323.1923828125,299.9800109863281,253.8264617919922,202.54290771484375,452.1412353515625,193.75845336914062,75.7049331665039,227.23568725585938,168.21774291992188,59.071868896484375,588.09228515625,49.68378448486328,445.05352783203125,87.63225555419922,319.8157958984375,50.23811340332031,45.2973747253418,26.02119255065918,433.05718994140625,186.7169647216797,80.14830017089844,257.637451171875,282.0969543457031,193.39857482910156,63.167236328125,154.1807403564453,373.86798095703125
2021-12-21,169.43563842773438,316.6802062988281,142.39662170410156,170.41700744628906,29.018781661987305,331.8816833496094,312.84332275390625,255.17518615722656,208.9857635498047,455.39398193359375,194.57757568359375,75.85169219970703,228.49391174316406,172.09844970703125,60.86296463012695,604.0824584960938,47.99834060668945,454.866455078125,90.06897735595703,330.34539794921875,51.18633270263672,46.098148345947266,26.916902542114258,432.13555908203125,189.4851837158203,88.59986114501953,261.04278564453125,284.7283630371094,194.17503356933594,65.26840209960938,157.16929626464844,378.061279296875
