Date,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,LLY,V,UNH,XOM,JPM,MA,AVGO,JNJ,WMT,PG,COST,HD,ABBV,CVX,MRK,KO,NFLX,BAC,ORCL,PEP,AMD,ADBE,CRM,TMO,CSCO,MCD,ABT,INTC,ACN,DHR,NKE,TXN,CMCSA,WFC,BMY,HON,NEE,UNP,VZ,RTX,QCOM,LIN,T
2021-12-14,170.74810791015625,317.6961975097656,142.82781982421875,169.0915069580078,28.28221321105957,331.42486572265625,319.5033264160156,240.24305725097656,203.74606323242188,448.1500549316406,53.390098571777344,142.6260528564453,332.16748046875,56.59833526611328,151.46502685546875,45.8571662902832,143.15338134765625,519.9244384765625,363.5189514160156,108.89227294921875,98.89558410644531,65.18338012695312,51.29584884643555,59.79899978637695,39.86248779296875,94.35819244384766,149.42474365234375,135.60000610351562,614.8599853515625,252.5217742919922,625.1154174804688,51.03651428222656,239.55645751953125,122.71517181396484,46.0950813293457,348.39471435546875,267.5106506347656,155.18365478515625,168.95281982421875,39.98920440673828,44.16621398925781,49.94646072387695,178.91622924804688,80.78340148925781,221.8474884033203,38.570030212402344,76.25615692138672,166.410888671875,316.7463073730469,13.07928466796875
2021-12-15,175.6160125732422,323.8016052246094,145.3428192138672,173.31500244140625,30.400110244750977,339.2899169921875,325.3299865722656,265.194091796875,206.00689697265625,462.095703125,53.155860900878906,141.5594940185547,337.8246765136719,58.89482498168945,152.2211151123047,46.1197624206543,143.70518493652344,539.1257934570312,368.58941650390625,111.40734100341797,98.33397674560547,66.57157135009766,51.52659225463867,60.50400161743164,39.69084930419922,97.90997314453125,151.34779357910156,146.5,630.3300170898438,256.91839599609375,648.4837646484375,52.94474792480469,241.38157653808594,125.1336441040039,46.99471664428711,353.643310546875,273.8397521972656,153.7762908935547,171.7677001953125,39.51353073120117,44.21137619018555,50.86967849731445,181.58248901367188,82.55107116699219,224.12387084960938,38.49388122558594,76.19223022460938,173.0863494873047,323.2422180175781,13.008874893188477
2021-12-16,168.72064208984375,314.36767578125,143.36181640625,168.87100219726562,28.332115173339844,332.5768737792969,308.97332763671875,268.8163757324219,208.0057373046875,460.6750183105469,53.24261474609375,143.77330017089844,344.23297119140625,57.129432678222656,153.88436889648438,45.350948333740234,145.74053955078125,526.874755859375,361.1057434082031,112.73331451416016,99.25299072265625,67.11978149414062,52.05019760131836,59.10599899291992,40.64834976196289,97.50379943847656,151.56834411621094,138.63999938964844,566.0900268554688,250.08143615722656,653.9329833984375,53.28045654296875,242.3214874267578,125.62287139892578,47.14311981201172,377.4833679199219,276.89129638671875,152.66915893554688,167.15028381347656,40.054805755615234,45.43997573852539,52.17897415161133,181.45266723632812,82.7574462890625,225.2394561767578,40.169185638427734,75.52555847167969,162.90859985351562,321.9638977050781,13.91251277923584
2021-12-17,167.62364196777344,313.3034362792969,140.66220092773438,170.0175018310547,27.747249603271484,331.47454833984375,310.8566589355469,257.6220703125,205.58969116210938,455.3098449707031,52.080074310302734,140.50184631347656,340.71185302734375,58.44380569458008,149.63278198242188,43.89873123168945,142.43873596191406,522.088623046875,350.6665344238281,110.80850982666016,96.6661376953125,66.92525482177734,51.23373031616211,58.67300033569336,39.636653900146484,91.26930236816406,148.46322631835938,137.75,556.6400146484375,249.8937225341797,643.86572265625,53.412967681884766,238.80824279785156,126.56440734863281,46.94834899902344,373.3749694824219,272.47479248046875,151.3931884765625,165.42762756347656,39.98099136352539,43.317039489746094,51.66701889038086,177.60906982421875,81.59993743896484,221.1569366455078,40.489013671875,75.14199829101562,161.674072265625,316.11187744140625,13.953588485717773
2021-12-20,166.26223754882812,309.53948974609375,140.54507446289062,167.07899475097656,27.665407180786133,323.1923828125,299.9800109863281,253.8264617919922,202.54290771484375,452.1412353515625,51.32528305053711,137.97430419921875,328.72430419921875,59.37068176269531,149.20582580566406,44.04109573364258,142.80059814453125,522.9944458007812,351.949951171875,111.94630432128906,96.70868682861328,67.56187438964844,51.06511306762695,59.374000549316406,38.98628234863281,86.56507873535156,149.4512176513672,135.8000030517578,549.77001953125,244.2423858642578,642.1350708007812,53.324642181396484,238.83554077148438,124.59827423095703,46.0023307800293,363.5185852050781,273.2398376464844,147.28372192382812,163.59841918945312,39.69395065307617,42.32331848144531,51.801300048828125,173.00369262695312,80.70264434814453,219.28884887695312,40.428096771240234,74.00041961669922,161.55517578125,312.7882385253906,14.194162368774414
2021-12-21,169.43563842773438,316.6802062988281,142.39662170410156,170.41700744628906,29.018781661987305,331.8816833496094,312.84332275390625,255.17518615722656,208.9857635498047,455.39398193359375,52.48782730102539,139.90133666992188,342.106689453125,59.862552642822266,148.7255401611328,44.17399215698242,142.71011352539062,520.0103759765625,352.9170837402344,111.1678237915039,98.25737762451172,66.7926254272461,51.26922607421875,60.492000579833984,39.91667556762695,86.44226837158203,149.01016235351562,144.25,557.52001953125,249.51829528808594,638.198974609375,53.916542053222656,241.262939453125,124.865966796875,47.08747100830078,370.21826171875,272.918212890625,156.337646484375,165.4897918701172,40.07121276855469,43.1905632019043,51.57468795776367,174.5792236328125,81.1602554321289,220.7286376953125,40.19203567504883,76.42054748535156,164.21624755859375,315.2218017578125,14.3584623336792
2021-12-22,172.0311737060547,322.3986511230469,145.31704711914062,171.03700256347656,29.343158721923828,328.1577453613281,336.2900085449219,256.73583984375,211.48916625976562,461.8620910644531,52.91294479370117,140.44805908203125,348.6806945800781,60.69253158569336,149.365966796875,44.23093795776367,144.12130737304688,524.0527954101562,357.58984375,112.96428680419922,98.81900787353516,67.34083557128906,51.63309097290039,61.42399978637695,39.99797821044922,84.88365936279297,149.93638610839844,143.8800048828125,563.97998046875,249.76528930664062,644.4886474609375,54.35825729370117,241.76483154296875,128.2998504638672,47.27296447753906,380.39501953125,277.9259033203125,155.22113037109375,165.98707580566406,40.21062469482422,43.389305114746094,52.12023162841797,174.72637939453125,81.47431182861328,221.33917236328125,40.18442153930664,76.77670288085938,165.8622283935547,317.55120849609375,14.540364265441895
2021-12-23,172.65805053710938,323.84033203125,145.8147430419922,171.06849670410156,29.582693099975586,332.91448974609375,355.6666564941406,263.0940246582031,210.18898010253906,463.030517578125,52.93896484375,140.95001220703125,351.70440673828125,61.5817985534668,149.65057373046875,44.13284683227539,144.82687377929688,524.719970703125,358.8824157714844,113.85398864746094,99.05726623535156,66.96063232421875,51.66858673095703,61.409000396728516,40.12443542480469,84.75139617919922,149.76876831054688,146.13999938964844,569.6199951171875,250.10121154785156,643.499755859375,55.02084732055664,242.68646240234375,128.45675659179688,47.58830261230469,380.03704833984375,278.8908996582031,155.43692016601562,166.40440368652344,41.030765533447266,43.68742370605469,52.0782585144043,177.65234375,81.38458251953125,223.84515380859375,40.11587905883789,77.5346908569336,167.10589599609375,321.16845703125,14.593177795410156
2021-12-27,176.62481689453125,331.3487854003906,146.79733276367188,169.66949462890625,30.885173797607422,343.7785949707031,364.64666748046875,268.20953369140625,211.16896057128906,466.8814392089844,53.693748474121094,141.75665283203125,351.4410705566406,62.4599609375,150.91358947753906,44.53466033935547,146.5185089111328,537.20947265625,365.2271728515625,114.98321533203125,101.08248901367188,67.70335388183594,52.05019760131836,61.3120002746582,40.323158264160156,84.58138275146484,151.25961303710938,154.36000061035156,577.6799926757812,255.19923400878906,654.88232421875,56.02796936035156,244.77613830566406,130.57984924316406,48.172603607177734,391.3633728027344,284.6462097167969,157.22898864746094,170.34693908691406,41.391605377197266,44.057804107666016,52.279701232910156,178.69981384277344,81.94090270996094,225.95022583007812,40.11587905883789,77.84521484375,170.3887176513672,325.1929016113281,14.540364265441895
2021-12-28,175.606201171875,330.18768310546875,145.58697509765625,170.66099548339844,30.263376235961914,343.8183288574219,362.8233337402344,266.302001953125,211.5764923095703,470.0968017578125,53.520240783691406,142.1868438720703,351.89947509765625,61.97087097167969,151.5184326171875,45.17376708984375,147.3054962158203,538.3250122070312,367.1523132324219,114.96610260009766,100.88678741455078,67.9155502319336,52.25432205200195,61.07099914550781,40.37735366821289,83.74066162109375,152.044677734375,153.14999389648438,569.3599853515625,252.38348388671875,648.1278686523438,56.125144958496094,244.4476776123047,129.66604614257812,48.00565719604492,391.3068542480469,281.1947021484375,156.14064025878906,169.68983459472656,41.424415588378906,43.74162673950195,52.33005142211914,179.23654174804688,82.44338989257812,227.11663818359375,40.146339416503906,78.55754089355469,169.00794982910156,325.54327392578125,14.563836097717285
