Date,AAPL,MSFT,NVDA,AMZN,META,GOOGL,GOOG,TSLA,AVGO,COST,NFLX,AMD,PEP,CSCO,ADBE,INTC,CMCSA,INTU,QCOM,TXN,AMAT,HON,SBUX,ISRG,VRTX,ADP,ADI,GILD,REGN,LRCX,BKNG,MDLZ,KLAC,MU,PANW,SNPS,PYPL,CDNS,MRVL,MRNA,MELI,ORLY,CTAS,MAR,AZN,CRWD,WDAY,DXCM,CHTR,CPRT,PAYX,IDXX,FAST,ODFL,VRSK,BIIB,PCAR,ROST,DDOG,KDP,MNST,TEAM,LULU,FTNT,ZS,ASML
2021-10-12,138.40048217773438,282.86810302734375,20.628507614135742,162.3665008544922,321.5240173339844,135.42576599121094,135.69525146484375,268.5733337402344,44.66676712036133,425.3555908203125,62.49399948120117,105.04000091552734,137.50418090820312,47.95330047607422,580.6900024414062,48.051753997802734,42.91704177856445,512.634033203125,112.00772094726562,166.33888244628906,122.05699920654297,184.7401885986328,100.3861312866211,324.45001220703125,180.2100067138672,186.40419006347656,152.2260284423828,57.39447784423828,541.4371337890625,52.131282806396484,2425.0205078125,53.476806640625,305.5137939453125,65.18949890136719,84.2066650390625,292.0400085449219,255.25991821289062,150.16000366210938,62.52555465698242,311.1300048828125,1461.25,40.59466552734375,97.13190460205078,151.84490966796875,55.254425048828125,252.74000549316406,257.19000244140625,134.61500549316406,690.6199951171875,34.627498626708984,103.88728332519531,615.9099731445312,24.253162384033203,139.84300231933594,202.17822265625,284.7900085449219,46.773681640625,101.15715026855469,145.58999633789062,31.50804901123047,43.970001220703125,397.4700012207031,384.57000732421875,61.316001892089844,277.7200012207031,695.0797119140625
2021-10-13,137.81365966796875,286.1809387207031,20.895959854125977,164.21400451660156,322.2887268066406,136.55027770996094,136.87339782714844,270.3599853515625,44.64191818237305,423.861083984375,62.97600173950195,109.16000366210938,138.43296813964844,48.253658294677734,591.1199951171875,48.13465881347656,43.21228790283203,520.3084106445312,113.9117202758789,165.12103271484375,123.4532241821289,185.817626953125,100.1690673828125,326.0,181.33999633789062,187.6387176513672,152.53231811523438,57.6159782409668,544.1023559570312,51.905311584472656,2422.885498046875,53.73670959472656,306.3360290527344,64.8572998046875,84.0816650390625,296.29998779296875,255.7687225341797,153.5,62.358402252197266,321.5,1518.4300537109375,40.82266616821289,97.4516830444336,149.11563110351562,55.4194450378418,270.44000244140625,266.6000061035156,137.0124969482422,696.22998046875,34.95500183105469,104.00237274169922,623.1199951171875,24.17206382751465,139.35366821289062,202.7815704345703,283.6499938964844,47.08708572387695,101.57625579833984,155.88999938964844,32.180145263671875,42.665000915527344,407.0400085449219,400.7099914550781,62.02000045776367,286.6400146484375,713.6491088867188
2021-10-14,140.6009979248047,292.4007873535156,21.701297760009766,164.9929962158203,326.2510070800781,140.0924835205078,140.35926818847656,272.7733459472656,45.800743103027344,428.9630432128906,63.380001068115234,111.98999786376953,139.54574584960938,49.16361999511719,607.510009765625,49.64520263671875,44.278438568115234,528.9066772460938,117.20954895019531,169.87786865234375,127.1700210571289,188.4120635986328,101.17295837402344,330.95001220703125,181.89999389648438,190.683837890625,156.10545349121094,58.058982849121094,552.555419921875,54.14777374267578,2456.032958984375,54.3371696472168,315.2944030761719,66.24472045898438,83.83000183105469,304.8299865722656,265.8354797363281,157.3300018310547,64.19709014892578,331.8800048828125,1524.25,41.675331115722656,100.11801147460938,149.69430541992188,54.70435333251953,276.010009765625,271.1099853515625,138.62750244140625,703.6699829101562,36.19499969482422,105.14457702636719,629.719970703125,25.059646606445312,144.64358520507812,205.8762664794922,285.260009765625,48.42458724975586,103.00503540039062,153.36000061035156,31.893396377563477,42.79999923706055,406.7300109863281,406.989990234375,62.762001037597656,293.8900146484375,746.118896484375
2021-10-15,141.65728759765625,293.81085205078125,21.817062377929688,170.4510040283203,322.5072021484375,140.30787658691406,140.62033081054688,281.010009765625,46.32078170776367,430.60980224609375,62.82899856567383,112.12000274658203,139.15147399902344,48.810237884521484,610.0900268554688,50.16099166870117,44.30305480957031,537.057373046875,118.61248016357422,171.6075897216797,126.70780181884766,190.248046875,100.79309844970703,331.5,181.77000427246094,194.76235961914062,159.66934204101562,57.6159782409668,550.1885986328125,53.81788635253906,2497.474853515625,53.906986236572266,314.64434814453125,66.1274642944336,84.64167022705078,306.260009765625,267.7310791015625,155.77999877929688,64.55110168457031,324.2099914550781,1563.0899658203125,41.93266677856445,100.02423095703125,154.3426513671875,55.20859146118164,273.1099853515625,270.989990234375,136.11749267578125,699.030029296875,36.247501373291016,105.4987564086914,635.1500244140625,25.11371421813965,148.03480529785156,204.98098754882812,281.19000244140625,48.62604904174805,103.5479736328125,154.47999572753906,31.642467498779297,42.790000915527344,409.739990234375,403.510009765625,63.05799865722656,292.70001220703125,756.769775390625
2021-10-18,143.3297119140625,296.7855529785156,22.176321029663086,172.33700561523438,333.0138244628906,141.70730590820312,141.89625549316406,290.03668212890625,46.330909729003906,439.70953369140625,63.797000885009766,116.43000030517578,138.52056884765625,48.75722122192383,622.8300170898438,50.17020797729492,43.646942138671875,549.1181030273438,118.53961181640625,172.0135955810547,128.3350830078125,190.17044067382812,102.5295181274414,332.29998779296875,180.8000030517578,194.387451171875,160.86659240722656,56.14215087890625,540.482421875,54.22118377685547,2461.84765625,53.54850387573242,312.4167175292969,65.71710968017578,85.86166381835938,307.2200012207031,269.70648193359375,157.5399932861328,66.04564666748047,334.8399963378906,1592.6199951171875,42.55533218383789,101.2359848022461,153.54226684570312,54.355979919433594,285.3500061035156,272.6700134277344,135.32000732421875,706.8800048828125,36.91999816894531,106.34876251220703,638.2899780273438,25.077672958374023,150.55990600585938,205.3799591064453,269.7300109863281,48.00487518310547,104.30045318603516,157.4199981689453,31.14959144592285,42.71500015258789,414.7699890136719,417.3800048828125,65.3479995727539,301.30999755859375,755.6384887695312
2021-10-19,145.49114990234375,297.6934814453125,22.244182586669922,172.20750427246094,337.63153076171875,142.162841796875,142.7513427734375,288.0899963378906,46.97797393798828,444.5924987792969,63.900001525878906,116.33000183105469,140.28182983398438,49.243125915527344,636.0700073242188,50.85178756713867,44.48346710205078,557.1328125,120.70779418945312,174.94357299804688,129.6061248779297,191.16171264648438,102.63803100585938,336.29998779296875,185.41000366210938,195.6768035888672,163.9293212890625,56.994075775146484,549.0648193359375,54.42427062988281,2423.44677734375,53.5843505859375,317.5507507324219,66.0199966430664,85.41500091552734,311.0,271.0733642578125,158.8300018310547,66.71424865722656,333.6099853515625,1591.260009765625,42.54933166503906,101.9163818359375,149.5013885498047,55.162750244140625,282.3500061035156,277.2699890136719,137.5124969482422,717.9099731445312,37.032501220703125,107.85399627685547,640.989990234375,25.34800148010254,150.73609924316406,206.3628692626953,268.1300048828125,48.407798767089844,103.50033569335938,157.94000244140625,31.14063262939453,42.5,410.4599914550781,416.6400146484375,66.42400360107422,298.0299987792969,767.8519287109375
2021-10-20,145.9801788330078,296.90142822265625,22.05756950378418,170.7530059814453,338.4160461425781,140.7058868408203,141.3548126220703,288.6000061035156,46.88593673706055,447.153076171875,62.513999938964844,116.38999938964844,141.34194946289062,49.64950942993164,632.3699951171875,50.9991569519043,44.868927001953125,554.9249267578125,120.3980712890625,175.95851135253906,129.0091094970703,192.76490783691406,102.97265625,339.79998779296875,185.49000549316406,194.8263702392578,164.19845581054688,56.959999084472656,559.6063842773438,53.91608810424805,2345.79638671875,54.032447814941406,316.489501953125,66.70393371582031,85.31999969482422,315.5,257.76409912109375,160.08999633789062,66.06532287597656,333.010009765625,1604.010009765625,42.96066665649414,101.86830139160156,147.813720703125,55.58446502685547,283.3299865722656,277.260009765625,139.13499450683594,734.010009765625,37.369998931884766,107.9248275756836,642.2000122070312,25.23535919189453,153.2562255859375,206.24610900878906,266.57000732421875,48.648433685302734,104.00519561767578,158.85000610351562,31.275054931640625,42.46500015258789,409.69000244140625,414.3999938964844,66.69000244140625,297.6700134277344,735.966796875
2021-10-21,146.1953125,300.1369934082031,22.645353317260742,171.75050354003906,339.5083923339844,140.82199096679688,141.71759033203125,298.0,47.324058532714844,454.25384521484375,65.31600189208984,119.33000183105469,139.47567749023438,49.198944091796875,638.6599731445312,51.57942199707031,44.31124496459961,562.5309448242188,121.20884704589844,177.6440887451172,128.3928680419922,193.52340698242188,103.49720001220703,339.6300048828125,187.08999633789062,196.34437561035156,165.95252990722656,57.07074737548828,566.2296142578125,52.95503616333008,2372.312744140625,53.91594314575195,320.77276611328125,67.06544494628906,84.66666412353516,321.010009765625,242.64906311035156,165.4499969482422,65.94731903076172,339.57000732421875,1583.93994140625,44.21666717529297,102.09430694580078,150.10899353027344,56.125362396240234,284.1000061035156,281.010009765625,142.02499389648438,735.6699829101562,37.959999084472656,108.35868835449219,645.239990234375,25.275911331176758,155.95257568359375,207.4236297607422,270.2099914550781,48.54210662841797,105.4530029296875,160.9199981689453,30.809070587158203,42.625,417.1199951171875,424.0400085449219,66.86799621582031,305.69000244140625,755.0056762695312
2021-10-22,145.42269897460938,298.5916748046875,22.67928695678711,166.77749633789062,322.35821533203125,136.53488159179688,137.593017578125,303.2266540527344,47.440032958984375,458.78466796875,66.47799682617188,119.81999969482422,140.1678924560547,48.68655776977539,643.5800170898438,45.555686950683594,44.467071533203125,574.6405639648438,119.9061050415039,175.6848907470703,130.8867950439453,187.38636779785156,103.5966796875,341.5199890136719,183.52000427246094,199.12435913085938,165.590576171875,57.283729553222656,569.203125,53.080894470214844,2356.0390625,54.23857879638672,327.96246337890625,65.96136474609375,84.02166748046875,321.1199951171875,239.8455352783203,166.75999450683594,65.20002746582031,326.5400085449219,1503.780029296875,44.237998962402344,102.62081146240234,149.24102783203125,56.64793395996094,283.3900146484375,280.7900085449219,141.6425018310547,730.9299926757812,38.067501068115234,109.58943176269531,651.8499755859375,25.253385543823242,157.44021606445312,208.2216339111328,264.79998779296875,48.68760681152344,105.148193359375,162.38999938964844,31.059982299804688,42.3650016784668,423.20001220703125,421.7300109863281,67.05799865722656,307.8699951171875,767.8614501953125
2021-10-25,145.373779296875,297.5968322753906,23.118383407592773,166.01849365234375,326.409912109375,136.41629028320312,137.73992919921875,341.6199951171875,48.053043365478516,466.5042724609375,67.16600036621094,122.36000061035156,139.51072692871094,48.71305847167969,646.969970703125,45.50962829589844,44.35224151611328,586.0789184570312,120.1884994506836,176.68214416503906,130.72308349609375,187.50706481933594,103.74136352539062,343.5899963378906,184.99000549316406,199.4169921875,167.53958129882812,57.650054931640625,573.02197265625,52.626102447509766,2374.1328125,54.0772705078125,328.15362548828125,67.18270874023438,82.961669921875,324.0,246.31060791015625,167.3699951171875,66.53726196289062,349.55999755859375,1536.510009765625,44.089332580566406,103.0439682006836,149.27960205078125,56.629600524902344,280.1000061035156,282.1499938964844,142.0850067138672,731.010009765625,38.31999969482422,109.0670394897461,652.52001953125,25.425457000732422,158.8936309814453,206.33372497558594,269.94000244140625,48.816322326660156,107.7485580444336,161.5800018310547,30.86282730102539,42.189998626708984,429.010009765625,427.94000244140625,66.38200378417969,311.20001220703125,755.8494262695312
