Date,NSRGY,ASML,NVO,SHEL,LVMUY,AZN,RHHBY,SAP,NVS,TM,TTE,SIEGY,HSBC,SONY,HDB,UL,BUD,BTI,BP,DEO,RIO,VALE,GSK,SNY,ADDYY,VWAGY
2020-01-02,91.66350555419922,286.9031677246094,26.21443748474121,47.20979690551758,85.06519317626953,43.71303939819336,33.512535095214844,124.09795379638672,75.27584075927734,121.3167953491211,38.29838562011719,51.308067321777344,28.3040771484375,13.34642219543457,29.585725784301758,52.091880798339844,77.61587524414062,26.908260345458984,27.49913215637207,141.74710083007812,36.98910903930664,7.830586910247803,35.83566665649414,40.11152648925781,155.90769958496094,13.468997955322266
2020-01-03,92.51993560791016,282.2798156738281,25.652957916259766,47.581207275390625,84.30730438232422,43.45279312133789,33.31584167480469,121.5309066772461,75.14900207519531,120.04593658447266,38.436973571777344,49.95033264160156,27.865537643432617,13.157028198242188,28.800796508789062,52.0187873840332,76.96481323242188,27.404115676879883,27.996625900268555,141.45806884765625,36.34061050415039,7.737435340881348,35.499603271484375,40.174842834472656,155.27767944335938,13.14395523071289
2020-01-06,93.26614379882812,280.03448486328125,25.608041763305664,48.17390060424805,84.28923797607422,43.27061462402344,33.61907958984375,121.73048400878906,75.65638732910156,120.06301879882812,39.157615661621094,50.15091323852539,27.772077560424805,13.356084823608398,28.289897918701172,52.07360076904297,77.5042724609375,27.667736053466797,28.732053756713867,142.57164001464844,36.0997428894043,7.650104522705078,35.51487731933594,40.56266403198242,155.54495239257812,13.286161422729492
2020-01-07,91.52783966064453,283.0757141113281,25.581092834472656,47.73135757446289,83.4952621459961,43.43543243408203,33.3568115234375,121.20436096191406,74.90322875976562,120.69415283203125,38.93587875366211,49.942623138427734,27.563583374023438,13.566737174987793,28.18771743774414,51.233131408691406,75.90451049804688,28.075729370117188,28.429227828979492,141.3475341796875,36.062679290771484,7.7025017738342285,35.293399810791016,40.15901184082031,157.02450561523438,13.218443870544434
2020-01-08,90.1965560913086,286.0126953125,25.536169052124023,47.1702766418457,84.18098449707031,43.33134078979492,33.471553802490234,122.5287094116211,74.90322875976562,120.39563751220703,38.700286865234375,50.328338623046875,27.49888038635254,13.616982460021973,28.489612579345703,51.01387023925781,76.2486572265625,28.502544403076172,27.996625900268555,143.23471069335938,36.37767791748047,7.696680068969727,35.44614791870117,40.348960876464844,161.13865661621094,13.320018768310547
2020-01-09,89.80650329589844,285.5294494628906,25.801193237304688,47.162376403808594,85.26367950439453,43.444114685058594,33.487945556640625,124.38823699951172,75.13313293457031,119.84124755859375,38.721073150634766,50.729488372802734,27.678613662719727,13.727142333984375,29.037668228149414,51.34275817871094,75.31856536865234,28.489990234375,28.090351104736328,144.38226318359375,36.00092697143555,7.56277322769165,35.629451751708984,40.491424560546875,164.73731994628906,13.465612411499023
2020-01-10,89.45037078857422,280.6029052734375,26.358179092407227,46.632904052734375,84.88473510742188,43.24458694458008,33.62727355957031,124.25215148925781,74.41169738769531,119.17597961425781,38.43003845214844,49.618621826171875,27.419797897338867,13.694286346435547,28.749706268310547,51.37929153442383,75.79290771484375,28.383281707763672,27.93173599243164,143.77871704101562,36.0997428894043,7.5511298179626465,35.73637008666992,40.85550308227539,163.67776489257812,13.692464828491211
2020-01-13,90.45942687988281,285.5957336425781,26.488441467285156,46.59339904785156,86.13887786865234,43.088443756103516,33.74201583862305,125.47674560546875,74.29277038574219,119.8838882446289,38.38846206665039,49.718910217285156,27.6929874420166,13.8450288772583,29.190937042236328,51.61682891845703,75.59758758544922,28.496261596679688,27.97498893737793,142.75013732910156,36.51972198486328,7.754899501800537,35.85857391357422,40.68929672241211,165.1382293701172,13.706008911132812
2020-01-14,90.38310241699219,286.6379699707031,26.7624454498291,46.561790466308594,86.3464126586914,43.530860900878906,33.750213623046875,124.4970703125,74.8239517211914,119.72181701660156,37.896484375,49.865482330322266,27.592344284057617,14.005431175231934,29.17236328125,51.46151351928711,74.41637420654297,28.402111053466797,27.989416122436523,142.9371795654297,36.581485748291016,7.830586910247803,35.92731857299805,40.348960876464844,166.45553588867188,13.692464828491211
2020-01-15,91.10387420654297,284.2978515625,28.024654388427734,46.482757568359375,86.77948760986328,44.0687141418457,34.04526138305664,123.72604370117188,74.99836730957031,118.86041259765625,37.50151062011719,49.688053131103516,27.57077407836914,13.837299346923828,29.00980567932129,51.89089584350586,74.565185546875,28.546480178833008,27.910104751586914,144.76478576660156,36.433258056640625,7.719967842102051,36.36266326904297,40.56266403198242,168.25009155273438,13.58411693572998
2020-01-16,92.23164367675781,285.2452697753906,27.539535522460938,46.4432373046875,87.02310180664062,43.81713104248047,34.21737289428711,124.53336334228516,75.39476013183594,119.4915771484375,37.6262321472168,49.95033264160156,27.76488494873047,14.03442096710205,28.628948211669922,52.02793502807617,74.10014343261719,28.320518493652344,28.003833770751953,144.6883087158203,36.532073974609375,7.66174840927124,36.01896667480469,40.515167236328125,167.77281188964844,13.496086120605469
2020-01-17,93.38484191894531,284.25994873046875,27.539535522460938,46.2614860534668,87.6817398071289,44.52848815917969,34.76648712158203,126.95528411865234,76.05278015136719,119.44037628173828,37.42527770996094,50.035194396972656,27.87272071838379,14.007366180419922,28.675395965576172,52.38423156738281,74.43496704101562,28.31424331665039,27.953369140625,145.1048126220703,37.470848083496094,7.9353814125061035,36.57651138305664,40.554744720458984,165.08096313476562,13.468997955322266
