Date,NEE,SO,DUK,SRE,AEP,D,EXC,PEG,ED,WEC,DTE,EIX,PPL,ETR,AEE,CMS,CNP,AWK,ES,PG,KO,PEP,COST,WMT,PM,MO,CL,KMB,GIS,KHC,ADM,HSY,MKC,CHD,CLX,HRL,TSN,SYY,CAG,CPB,SJM,TAP,EL,STZ
2022-07-05,71.78465270996094,62.28171920776367,92.618896484375,65.29052734375,82.06778717041016,67.07196807861328,38.377262115478516,55.58652114868164,82.15187072753906,87.47232055664062,110.2552261352539,52.07282638549805,23.824445724487305,48.2203369140625,79.04984283447266,59.17029571533203,26.555782318115234,138.7706756591797,71.89564514160156,132.34109497070312,56.9979362487793,151.1139373779297,466.96875,39.60660171508789,83.17666625976562,31.484275817871094,74.48294830322266,119.36756134033203,65.45011901855469,32.15671157836914,65.13174438476562,199.5278778076172,77.3283462524414,91.05196380615234,128.49835205078125,41.857421875,76.25025939941406,77.47119140625,28.899818420410156,42.05131149291992,116.45808410644531,49.60430145263672,243.86569213867188,222.41529846191406
2022-07-06,72.2020492553711,62.85335922241211,93.69890594482422,66.01354217529297,83.13771057128906,67.57862854003906,38.940338134765625,55.9597053527832,82.5152587890625,89.5958480834961,112.00418090820312,52.54551696777344,24.019798278808594,48.927642822265625,79.51702117919922,60.29803466796875,26.784006118774414,141.1724090576172,72.56829071044922,133.57579040527344,57.11503219604492,152.6249542236328,471.1672668457031,39.88711929321289,80.56468963623047,31.061674118041992,74.5013427734375,120.14818572998047,66.38201141357422,32.22420883178711,64.98776245117188,201.62973022460938,76.7123031616211,91.07115173339844,130.19387817382812,42.22675323486328,76.15248107910156,77.12567901611328,29.252973556518555,42.472877502441406,116.99836730957031,49.50569534301758,242.18051147460938,224.98045349121094
2022-07-07,72.93706512451172,62.695068359375,93.04566955566406,66.11201477050781,82.89213562011719,67.40131378173828,39.05470657348633,55.799766540527344,81.80622100830078,88.31287384033203,111.27618408203125,52.94225311279297,24.197397232055664,48.589359283447266,79.27445220947266,59.41195297241211,26.756616592407227,142.09042358398438,72.08536529541016,133.53005981445312,56.664669036865234,152.3209991455078,473.3670349121094,39.947689056396484,80.55619812011719,31.552200317382812,73.06684875488281,119.02548217773438,66.23289489746094,32.12297821044922,66.94945526123047,200.98089599609375,76.0226821899414,91.32042694091797,129.11090087890625,42.516944885253906,76.4991226196289,78.24411010742188,29.59772300720215,42.65731430053711,117.71582794189453,48.9678840637207,244.1575469970703,227.01939392089844
2022-07-08,72.819091796875,62.60709762573242,92.24437713623047,65.928466796875,82.73428344726562,67.02975463867188,38.96672058105469,55.49767303466797,81.51373291015625,88.04743194580078,110.84115600585938,52.731231689453125,24.135238647460938,48.36530685424805,78.83424377441406,59.08974075317383,26.81139373779297,139.89273071289062,71.85250854492188,132.63377380371094,56.871829986572266,153.68002319335938,479.669677734375,39.97317886352539,79.62334442138672,31.333349227905273,72.04615783691406,117.70980834960938,66.25921630859375,32.36760330200195,65.99560546875,200.85293579101562,75.801025390625,90.80269622802734,125.48898315429688,42.039520263671875,74.757080078125,78.33502197265625,29.69021224975586,42.666099548339844,116.87437438964844,49.74770736694336,236.75775146484375,227.5455780029297
2022-07-11,73.20928192138672,63.11717987060547,94.02985382080078,66.49254608154297,83.3218765258789,67.36752319335938,39.08989334106445,55.515438079833984,82.36458587646484,88.9853515625,111.86212158203125,52.75654983520508,24.250675201416016,48.66844940185547,78.98696899414062,59.3045539855957,26.95745277404785,139.25289916992188,72.19746398925781,133.56663513183594,56.69167709350586,152.41932678222656,477.1448059082031,39.98911666870117,79.06364440917969,31.65785026550293,72.36799621582031,118.1659164428711,66.45217895507812,32.57007598876953,65.356689453125,201.50177001953125,76.04116821289062,91.20537567138672,125.87956237792969,42.26055145263672,72.71281433105469,78.50779724121094,29.90042495727539,42.80662155151367,117.83985900878906,50.24967575073242,231.2125244140625,226.57777404785156
2022-07-12,72.546875,63.30187225341797,93.77725982666016,65.74044799804688,82.7606201171875,66.91997528076172,38.91393280029297,54.85793685913086,82.26709747314453,88.88802337646484,111.16075897216797,52.57084655761719,24.188514709472656,48.756317138671875,78.62760162353516,58.991294860839844,26.875293731689453,137.26844787597656,71.90426635742188,132.38681030273438,56.448486328125,151.5520477294922,469.17803955078125,39.86798095703125,79.54704284667969,31.929529190063477,72.00939178466797,118.65708923339844,66.592529296875,32.730350494384766,65.55465698242188,201.16366577148438,75.97650909423828,90.78353118896484,127.73491668701172,42.50810241699219,73.52163696289062,78.55326080322266,29.934059143066406,42.938358306884766,117.90186309814453,51.450782775878906,229.99806213378906,226.03280639648438
2022-07-13,72.82817077636719,62.615901947021484,93.40277862548828,65.68671417236328,82.34843444824219,66.4217758178711,38.35966110229492,54.200416564941406,82.01006317138672,88.59603881835938,110.53931427001953,52.503318786621094,24.02867889404297,48.11489486694336,78.2323226928711,59.01814270019531,26.54665184020996,137.2592010498047,71.40409088134766,133.25567626953125,56.18728256225586,152.0885009765625,470.75604248046875,39.963623046875,76.87568664550781,31.665395736694336,72.11972045898438,119.3324966430664,67.03986358642578,33.0509033203125,65.41069030761719,200.84376525878906,76.77081298828125,92.0874252319336,131.02835083007812,42.6053581237793,73.79716491699219,78.44413757324219,30.051776885986328,43.438968658447266,119.25702667236328,52.212684631347656,231.07127380371094,230.1858673095703
2022-07-14,72.71021270751953,63.196319580078125,93.15018463134766,66.25973510742188,82.67290496826172,66.5146713256836,38.84355163574219,53.61398696899414,82.28482818603516,88.57831573486328,110.53931427001953,51.73518371582031,24.08196258544922,48.21593475341797,78.20536804199219,58.88388442993164,26.58316993713379,135.88674926757812,71.9905014038086,132.8624267578125,56.00712966918945,152.87530517578125,489.61614990234375,40.744590759277344,76.00218963623047,31.41636085510254,72.03697204589844,118.52552032470703,65.52240753173828,32.69660186767578,64.51983642578125,199.09832763671875,76.1335220336914,91.8764877319336,130.95733642578125,42.51694107055664,72.47283935546875,78.87149810791016,27.873991012573242,43.07888412475586,117.61842346191406,52.14994812011719,229.69677734375,235.81414794921875
2022-07-15,71.42169189453125,63.60966873168945,93.5682601928711,67.70571899414062,83.50603485107422,66.87774658203125,38.91393280029297,53.80057907104492,82.78115844726562,89.14460754394531,111.1341552734375,51.96308898925781,24.446029663085938,48.37849426269531,78.83424377441406,59.2508430480957,27.03048324584961,137.7692108154297,72.14571380615234,132.6795196533203,56.29536437988281,153.00050354003906,500.14599609375,41.14305114746094,76.47710418701172,31.688039779663086,71.86225891113281,118.13082122802734,65.71537780761719,32.06392288208008,64.78978729248047,198.12057495117188,75.4962158203125,91.63681030273438,131.97824096679688,42.251708984375,72.81947326660156,79.67169189453125,28.361679077148438,42.79783248901367,116.73267364501953,52.5622673034668,231.16543579101562,229.77247619628906
2022-07-18,70.33280944824219,63.04682159423828,91.82630157470703,66.86410522460938,81.88363647460938,65.87290954589844,38.50042724609375,53.365196228027344,81.21238708496094,87.4280776977539,109.79357147216797,51.4735107421875,24.144121170043945,48.00506591796875,77.6393814086914,58.00675582885742,26.98483657836914,134.52366638183594,71.10224151611328,131.06979370117188,55.529747009277344,150.44332885742188,493.7860412597656,41.047428131103516,75.90890502929688,31.89933967590332,70.91513061523438,115.84153747558594,64.86456298828125,32.4182243347168,65.28470611572266,196.53050231933594,74.76657104492188,90.10281372070312,129.36830139160156,41.8803825378418,72.77503204345703,78.51688385009766,28.092613220214844,42.314788818359375,115.65206146240234,52.08720779418945,231.38198852539062,228.74827575683594
