Date,PG,JNJ,KO,PEP,MRK,ABBV,COST,WMT,MCD,UNH,LLY,PFE,PM,MO,CL,T,VZ,SO,DUK,NEE,AEP,D,ED,XEL,PEG,WEC,ES,DTE,EIX,PPL,CMS,AEE,FE,LNT,ATO,EVRG,NI,PNW,AWK,K,GIS,KMB,SJM,CAG,CPB,HSY,MKC,CHD
2019-07-23,97.41844177246094,107.2691650390625,44.535362243652344,107.38383483886719,63.863372802734375,51.63565444946289,254.9649200439453,34.01477813720703,184.3697509765625,229.2797393798828,99.5457992553711,30.199539184570312,62.0148811340332,29.928335189819336,62.36488342285156,15.3941011428833,38.32382583618164,43.053958892822266,67.59331512451172,44.19753646850586,71.08922576904297,56.76549530029297,68.41635131835938,49.5838623046875,47.73246383666992,69.7009048461914,60.9168815612793,87.67351531982422,52.15828323364258,22.863704681396484,48.073448181152344,63.35427474975586,33.15337371826172,40.432674407958984,91.83740997314453,47.2215576171875,23.535362243652344,70.45510864257812,101.32051086425781,43.23383712768555,41.62556457519531,107.60376739501953,91.08808135986328,22.372394561767578,33.1871223449707,126.69744873046875,69.96302032470703,69.42292022705078
2019-07-24,96.34886932373047,108.05177307128906,44.08451461791992,106.12718200683594,63.645381927490234,51.42979431152344,255.6294403076172,33.987464904785156,183.05349731445312,225.791259765625,99.8217544555664,30.059370040893555,60.778160095214844,29.7728328704834,61.502071380615234,15.945773124694824,38.662315368652344,43.2248649597168,67.20784759521484,44.785980224609375,71.16864013671875,56.57735824584961,68.43215942382812,49.624900817871094,47.67625045776367,69.73341369628906,60.654945373535156,87.3588638305664,52.714969635009766,23.03847312927246,47.85894012451172,63.52048873901367,33.38296127319336,40.36745071411133,91.845947265625,47.26825714111328,23.728679656982422,69.66587829589844,100.913330078125,43.270973205566406,41.98310470581055,107.28504943847656,90.65139770507812,21.935670852661133,32.4268684387207,126.24156188964844,70.09540557861328,68.50654602050781
2019-07-25,96.49431610107422,109.16744232177734,43.502506256103516,105.94648742675781,63.645381927490234,50.81990051269531,254.69183349609375,34.054229736328125,184.48158264160156,223.60638427734375,99.17784881591797,29.905187606811523,61.2142333984375,29.659198760986328,62.06290054321289,16.219215393066406,38.93170928955078,43.00733947753906,66.67593383789062,44.26789855957031,70.74773406982422,56.33654022216797,68.0842056274414,49.403289794921875,47.893043518066406,69.78218078613281,60.4803466796875,87.59827423095703,51.98014450073242,22.932090759277344,47.81770324707031,63.37089538574219,33.57429122924805,40.26960754394531,91.39371490478516,47.151519775390625,23.672298431396484,69.10429382324219,100.78055572509766,43.35266876220703,42.69023895263672,107.87466430664062,91.41960144042969,21.866718292236328,32.330841064453125,128.7877197265625,70.87210845947266,68.94158172607422
2019-07-26,98.17143249511719,108.84273529052734,44.40420150756836,107.77809143066406,63.39625930786133,51.65852355957031,256.1210021972656,34.297000885009766,185.46229553222656,227.4186248779297,99.59180450439453,30.199539184570312,61.46443557739258,29.820682525634766,63.58148193359375,16.3823184967041,39.42905807495117,43.302547454833984,66.9997329711914,44.59623336791992,70.64447784423828,56.55478286743164,68.28190612792969,49.66593551635742,47.80471420288086,70.43238067626953,60.5120964050293,88.4943618774414,52.66302490234375,23.03847312927246,48.41994857788086,63.65346908569336,33.71969985961914,40.59574508666992,92.26403045654297,47.260475158691406,23.760896682739258,69.83281707763672,101.86927795410156,43.62004089355469,42.61872482299805,109.29291534423828,92.39810943603516,22.34174919128418,32.77898406982422,131.5919189453125,71.7459487915039,70.2004623413086
2019-07-29,99.25814819335938,110.74935150146484,44.256656646728516,108.03270721435547,64.22151184082031,51.21634292602539,254.9922637939453,34.069393157958984,184.94607543945312,228.2098388671875,100.0057373046875,29.05015754699707,62.02203369140625,30.08981704711914,65.20357513427734,16.473459243774414,39.62937927246094,43.58999252319336,67.67813873291016,45.067420959472656,71.27191162109375,56.47951889038086,68.53499603271484,50.05170822143555,47.62005615234375,71.11508178710938,60.9644889831543,88.22760009765625,52.403236389160156,22.840909957885742,48.82421112060547,63.86954116821289,34.033470153808594,40.88926315307617,92.89545440673828,47.63407897949219,24.010581970214844,70.66761016845703,102.06400299072266,43.38980484008789,42.66640090942383,110.15343475341797,92.47086334228516,22.398096084594727,33.08308792114258,130.92955017089844,71.70623016357422,70.45962524414062
2019-07-30,103.03166198730469,109.96671295166016,44.03532409667969,107.1702880859375,64.8287582397461,51.21634292602539,254.4187469482422,34.005672454833984,182.67494201660156,229.20777893066406,99.9781494140625,27.185897827148438,61.69321060180664,29.007280349731445,64.48744201660156,16.396705627441406,39.11820983886719,42.95297622680664,67.63957977294922,44.64314270019531,70.46180725097656,56.46446990966797,67.53850555419922,49.73161315917969,46.47992706298828,70.43238067626953,60.74224853515625,87.52303314208984,52.15828323364258,22.582565307617188,48.31270980834961,63.337642669677734,34.041133880615234,40.786617279052734,92.89545440673828,47.338321685791016,23.986263275146484,69.76451873779297,101.88697814941406,43.493778228759766,42.65050506591797,110.19327545166016,91.48432922363281,22.4598388671875,33.339168548583984,130.97262573242188,71.2075424194336,70.93170166015625
2019-07-31,101.00372314453125,108.4181137084961,43.14183807373047,104.97727966308594,64.61077117919922,50.78940963745117,250.89602661132812,33.4958610534668,181.28126525878906,223.88514709472656,100.21727752685547,27.220943450927734,59.77019119262695,28.15201759338379,61.89897155761719,16.334346771240234,38.17876434326172,43.65992736816406,66.85325622558594,44.16981887817383,69.73908996582031,55.90757369995117,67.19054412841797,48.92722702026367,45.88579177856445,69.45708465576172,60.21049499511719,86.94842529296875,55.32771682739258,22.51417350769043,48.032203674316406,62.90550994873047,33.650821685791016,40.67986297607422,93.04052734375,47.08146667480469,24.07546043395996,69.78593444824219,101.59488677978516,43.24125671386719,42.1976203918457,108.08182525634766,89.91549682617188,22.28232192993164,33.08308792114258,130.5252685546875,69.96741485595703,69.8301773071289
2019-08-01,99.88279724121094,108.47640228271484,42.64999771118164,104.42698669433594,65.1557388305664,50.164268493652344,249.93115234375,33.1923942565918,181.7372283935547,224.1009063720703,101.65226745605469,27.05823516845703,58.94095230102539,28.6364688873291,61.484806060791016,16.367923736572266,38.1718635559082,44.26587677001953,67.45454406738281,44.82863235473633,70.53329467773438,57.12671661376953,67.95767211914062,49.87112045288086,45.90986633300781,70.8550033569336,60.75020217895508,88.27547454833984,54.837825775146484,22.582565307617188,48.9897346496582,63.69502639770508,33.96460723876953,41.041175842285156,93.89379119873047,47.14373779296875,24.359272003173828,70.35972595214844,103.57757568359375,47.25938415527344,42.91270446777344,107.7551498413086,90.35218048095703,22.490711212158203,33.69929122924805,130.48228454589844,69.48635864257812,68.80272674560547
2019-08-02,99.6346435546875,109.12581634521484,42.895912170410156,105.067626953125,65.76300048828125,49.82119369506836,248.04689025878906,33.19845962524414,184.51596069335938,224.82022094726562,103.40914916992188,26.88138198852539,60.1705322265625,28.666370391845703,61.43303680419922,16.39191246032715,38.399810791015625,44.56108093261719,67.9325180053711,45.07381057739258,70.4459228515625,57.209510803222656,68.11582946777344,49.09959411621094,45.66096878051758,70.3510971069336,60.8771858215332,88.00870513916016,54.74134063720703,22.536972045898438,48.748905181884766,62.9470329284668,33.8651008605957,41.16434860229492,93.5439453125,47.346099853515625,24.091676712036133,70.75753784179688,103.81654357910156,47.08855438232422,42.66640090942383,108.2571029663086,90.69183349609375,21.819231033325195,33.88335418701172,130.8435516357422,70.2498550415039,68.79347229003906
2019-08-05,96.75959014892578,108.36817932128906,42.33850860595703,102.17647552490234,64.71197509765625,49.72970199584961,241.31101989746094,32.112098693847656,181.0489959716797,220.3336639404297,99.99652099609375,26.145681381225586,57.37538146972656,27.900821685791016,59.362281799316406,16.06570816040039,38.14422607421875,43.45015335083008,67.03826904296875,44.357444763183594,69.9058609008789,56.19355010986328,67.6017837524414,48.94364929199219,44.665367126464844,70.73310089111328,60.758148193359375,86.8184814453125,53.82093048095703,22.020278930664062,48.350276947021484,62.37358856201172,33.24520492553711,40.85231399536133,91.2486572265625,47.01920700073242,22.794246673583984,70.03839111328125,102.12596893310547,45.86306381225586,41.95927810668945,106.47234344482422,89.25237274169922,21.6108455657959,32.97905731201172,128.2716064453125,68.29037475585938,68.6268310546875
