Date,PEP,INTC,COST,PFE,MSFT,AAPL,NVDA,PM,IBM,ABBV,TXN,XOM,QCOM,BAC,WMT,MCD,CSCO,INTU,JPM,AMD,ORCL,CVX,UNH,MO,ADBE,PG,KO,ACN,JNJ,MRK,AVGO,LLY,CL,CRM
2019-10-07,114.41136169433594,44.40708541870117,267.67138671875,25.3463134765625,129.75140380859375,54.62090301513672,4.58437442779541,56.07770538330078,103.12361145019531,56.667335510253906,107.77679443359375,50.86848068237305,66.3199462890625,24.30136489868164,35.74966049194336,183.277587890625,39.63764572143555,255.5795440673828,96.49299621582031,28.93000030517578,49.8758544921875,85.82059478759766,199.85513305664062,25.70707130432129,276.8999938964844,105.1109390258789,44.48114013671875,170.40150451660156,111.69664764404297,66.13735961914062,23.513280868530273,99.74311828613281,61.79543685913086,147.01373291015625
2019-10-08,113.50162506103516,43.62632751464844,266.28466796875,25.0633544921875,128.3792724609375,53.981021881103516,4.4077935218811035,55.49635696411133,101.00682830810547,56.05740737915039,104.53970336914062,49.881317138671875,63.28802490234375,23.717649459838867,35.85640335083008,182.5770721435547,38.49256896972656,250.05126953125,94.34156799316406,28.229999542236328,49.19324493408203,84.64611053466797,198.83438110351562,25.603443145751953,270.8299865722656,103.47663116455078,44.2416877746582,166.19644165039062,110.58939361572266,65.27525329589844,23.023569107055664,99.15111541748047,60.98438262939453,144.158447265625
2019-10-09,114.00614166259766,44.28426742553711,270.8551940917969,25.24727439880371,130.8111572265625,54.61369323730469,4.494342803955078,56.28117752075195,101.94845581054688,55.88207244873047,106.59737396240234,50.434722900390625,64.59117126464844,23.940837860107422,36.26809310913086,184.06460571289062,38.86595916748047,253.44979858398438,95.02497100830078,28.459999084472656,49.85147476196289,85.72966766357422,200.6139678955078,25.883859634399414,274.2699890136719,104.37509155273438,44.448116302490234,168.1484832763672,108.3917007446289,65.9727554321289,23.26373863220215,99.25283813476562,60.94124221801758,145.28475952148438
2019-10-10,114.0391845703125,44.83695602416992,271.07421875,25.318017959594727,131.62498474121094,55.349796295166016,4.552042484283447,56.49918746948242,103.01414489746094,56.7588005065918,106.83995819091797,51.04047775268555,65.12977600097656,24.421539306640625,36.47545623779297,183.13922119140625,38.293426513671875,256.8388366699219,96.35800170898438,28.3799991607666,50.72911071777344,86.828369140625,202.1044464111328,26.200851440429688,274.9800109863281,104.34085845947266,44.30773162841797,167.68325805664062,108.25752258300781,65.64360809326172,23.37445831298828,98.90135192871094,61.0620231628418,144.65245056152344
2019-10-11,113.83242797851562,45.6966667175293,271.4938049316406,25.544389724731445,132.17379760742188,56.8220100402832,4.625658988952637,56.64448928833008,104.20391845703125,56.95216751098633,108.81396484375,51.58641052246094,66.63270568847656,24.816404342651367,36.667579650878906,180.7695770263672,38.63364028930664,259.2772521972656,97.98632049560547,29.75,52.00899887084961,88.01043701171875,200.6049346923828,25.95091438293457,278.2900085449219,103.613525390625,44.0104866027832,168.7230987548828,110.16160583496094,66.09819030761719,23.924638748168945,100.2333755493164,60.83768081665039,147.576904296875
2019-10-14,113.67530059814453,45.301902770996094,271.4208068847656,25.678789138793945,132.05079650878906,56.740211486816406,4.639089107513428,56.70263671875,103.67837524414062,57.052734375,108.52957916259766,51.73597717285156,66.28519439697266,25.01383399963379,36.34128189086914,180.2161102294922,38.21046447753906,258.3076171875,98.24786376953125,30.530000686645508,51.61589431762695,88.03314208984375,199.26797485351562,26.042362213134766,277.7799987792969,102.7236328125,44.0104866027832,169.20657348632812,109.6499252319336,66.37246704101562,23.988521575927734,99.80785369873047,59.88859176635742,147.576904296875
2019-10-15,112.74903869628906,46.187931060791016,272.2145080566406,25.82027816772461,133.96224975585938,56.60791015625,4.883814811706543,56.91339874267578,104.37910461425781,57.62512969970703,110.15230560302734,51.91545867919922,67.60569763183594,25.520294189453125,36.45106887817383,179.21282958984375,38.46767807006836,262.5701904296875,101.20924377441406,30.719999313354492,51.51532745361328,88.13166046142578,215.5281219482422,26.475175857543945,279.3900146484375,100.28495025634766,44.18387985229492,170.57484436035156,111.42823791503906,66.64675903320312,24.726078033447266,101.47284698486328,59.01713562011719,150.90647888183594
2019-10-16,112.82350158691406,46.012481689453125,272.5703125,25.70708656311035,132.86460876464844,56.37937545776367,4.830093860626221,57.48019027709961,103.7294692993164,57.81849670410156,108.3204574584961,51.0255241394043,67.96188354492188,25.89798927307129,36.417503356933594,180.14688110351562,38.82447814941406,258.3940734863281,100.9729995727539,30.809999465942383,51.08564758300781,87.22240447998047,214.08277893066406,26.523948669433594,272.70001220703125,100.56731414794922,44.16736602783203,170.91378784179688,113.38265991210938,66.18437957763672,24.569364547729492,99.85409545898438,58.54258728027344,145.20571899414062
2019-10-17,113.27006530761719,45.494895935058594,275.8727111816406,25.791976928710938,132.18325805664062,56.598289489746094,4.832085132598877,58.02518844604492,97.99954223632812,58.120147705078125,108.84742736816406,50.958213806152344,68.60474395751953,25.975250244140625,36.54559326171875,178.89288330078125,39.02361297607422,255.87876892089844,101.53826904296875,31.139999389648438,50.33600616455078,87.40426635742188,220.11708068847656,26.99334144592285,269.239990234375,100.43470764160156,44.41509246826172,170.42823791503906,114.22147369384766,65.6749496459961,24.65027618408203,100.32586669921875,58.74103546142578,144.41531372070312
2019-10-18,112.68285369873047,45.0562744140625,276.29241943359375,25.791976928710938,130.02577209472656,56.87012481689453,4.737575531005859,58.53388214111328,97.8754653930664,59.141143798828125,108.2870101928711,50.561859130859375,67.48407745361328,26.052507400512695,36.332130432128906,180.31988525390625,38.758087158203125,251.98098754882812,101.71542358398438,30.969999313354492,49.8697624206543,86.9420394897461,221.62567138671875,27.02382469177246,265.5199890136719,101.15807342529297,45.2325325012207,171.38096618652344,107.11674499511719,66.36463928222656,24.42032814025879,100.49234008789062,58.69789505004883,142.36029052734375
