Date,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,LLY,V,UNH,XOM,JPM,MA,AVGO,JNJ,WMT,PG,COST,HD,AMGN,PM,LOW,UPS,COP,INTU,PFE,SPGI,MDT,DE,NSRGY,ASML,NVO,SHEL,LVMUY,AZN,RHHBY,SAP,NVS,TM
2020-01-03,-0.009770096654207578,-0.012529779789158747,-0.005245061426369048,-0.012213314472679244,-0.016135137552824096,-0.005305354171338733,0.02920267893223429,-0.0033333828117516036,-0.007984954388032067,-0.010170997661803724,-0.008071889397928874,-0.013284519906133552,-0.009804097102645458,-0.025764065522079937,-0.011645470665785324,-0.008867363132512615,-0.0067482550207697434,0.000823471619079125,-0.003328762426671267,-0.006811910469176487,-0.001880122075764481,-0.007164871059291994,-0.0005996707012409444,0.0036598150834165877,-0.0067101530116555255,-0.0053798462458411805,-0.00335277141235067,-0.005953491847778967,-0.007434319253885898,0.00929981784221358,-0.016245930999587214,-0.02165142469038195,0.007836445531288379,-0.008949432325637361,-0.005971308771394828,-0.005886540954341569,-0.020902597352696606,-0.0016864064705325078,-0.010530793209416406
2020-01-06,0.00793687693801613,0.002581222890224506,0.026305044118816883,0.014775871094842,0.004184684446850888,0.018658419972255303,0.019071612174755247,0.0037114995622981473,-0.002164591795315329,0.006918050078590654,0.007648827047374324,-0.0007950448258495416,0.002659112684410502,-0.0014970036776081378,-0.0012480870067572787,-0.002037653827739607,0.0013858799791973114,0.0002741111425722853,0.00469372880397782,0.0076447266994831165,0.011575884070595014,0.0062513924716727474,-0.0044649537942759955,0.011802339782988681,0.0076489817579875495,-0.0012851537835576864,0.0076626437128572275,0.008830088831971039,0.007151281226198333,0.00803302600496623,-0.007986077330212265,-0.0017524498051136753,0.012379515020524392,-0.0002143152649091684,-0.0042013746929091735,0.009060740907271523,0.0016408471213477255,0.006729032303653079,0.00014228719088820843
2020-01-07,-0.0047139965147515546,-0.009159237343507739,-0.0019334580474240734,0.002089436023074214,0.01203414060062687,0.0021613186669338794,0.03806670586808656,0.00188850402541647,-0.002646450751462786,-0.006055172047581432,-0.008217857852326387,-0.017147113031474148,-0.0033915941973727826,-0.0034485380346344894,0.0060882299046309185,-0.009308032410639662,-0.0062106793436757885,-0.0015776244180049069,-0.006568364328668255,-0.009449756937200115,0.004407622580697399,-0.00600059069108889,-0.0017227729413258907,0.0,0.00022536913238605782,-0.0033493016235052963,0.0069282901200144,-0.0034877970434730172,-0.01751566085699327,-0.018813982797246123,0.010801647078290495,-0.0010529160742592744,-0.009228819757646521,-0.009464303985902658,0.0038017650248348646,-0.007831755653969907,-0.0043313989764496436,-0.010004872107532358,0.0052429215267550565
2020-01-08,0.01595812040643584,0.01580296158918697,0.007092481807873535,-0.007839287338238396,0.0018736274977048004,0.010087030780483574,0.048032568493066904,0.009015086117817017,0.016973247375983408,0.020865217940126163,-0.015195173135882593,0.007770801577396393,0.017490475761857468,-0.012552820042627427,-0.0001379509390328783,-0.0034374936691512,0.004253507604952053,0.01139886068028552,0.014853304953135048,0.0007560425277744373,0.018803358931645985,0.015757553335382143,0.005673674240104577,-0.023437468602433068,0.02377034943490331,0.007968296540157727,0.014240755870010488,0.01740377126947123,0.012355992400305903,-0.014651939056716521,0.010321796149279987,-0.0017576760670012668,-0.011824611342689613,0.008179168935758103,-0.0023993445960063973,0.0034339427949843407,0.010867310548177824,0.0,-0.0024763841882413087
2020-01-09,0.021018487825367353,0.012415634299386087,0.010443234140470822,0.0047876954600311996,0.010922858114472201,0.014209454590377802,-0.022189385476863444,0.01639326476197867,0.0069061033692032325,-0.005693621926951539,0.007626700824596293,0.003644510421676517,0.013025333703790127,-0.008065118322919108,0.0029618215617734645,0.010277552064788502,0.010878602463719612,0.01592303065811862,0.015213845724602803,0.002975910586073881,0.002722587650933122,0.0042697644624230275,0.0023117382358933845,0.017250938119479284,0.009319356974935682,-0.004361667195951798,0.01590731668454782,0.016092990889655476,0.00961824378105496,-0.004333853071660629,-0.00169102477982741,0.010324898971577517,-0.00016749742110523728,0.012779508269174017,0.0025992132945288674,0.0004896020619842786,0.015062252882445636,0.003064648491179974,-0.00461536901435491
2020-01-10,0.0022579584488265384,-0.004638303016383026,0.006438057884632033,-0.009455156242405702,0.00533491304601302,-0.0010999717119357967,-0.006649355680979626,0.015187275754006928,0.0026871151252730887,0.00308801633129117,-0.008927511362752423,-0.010017725967252557,0.006674484133108237,-0.023255209947647272,-0.0022722570925033858,-0.008385623597650101,0.0009684052145209564,-0.007307215602214992,-0.004316996515956559,-0.0028079616131994004,-0.009332100939407227,-0.008640431380997921,-0.009106557654250813,-0.00988636537831647,0.0012723915847295726,0.015310193431409366,-0.002212504246782734,0.0021093470306340735,-0.023759999856847774,-0.003973437311129298,-0.017404652854768693,0.0213578884454999,-0.011290077125877394,-0.004454288032949656,-0.0046033240565402185,0.004151910845654201,-0.001094637316724928,-0.009648493258558226,-0.0055667088950979325
2020-01-13,0.021139583979899946,0.011952886196922554,0.007717112699287548,0.0043132627393767525,0.030870983514611924,0.017501615533177826,0.09320702322102224,0.006788323001237271,0.00801837309775635,-0.031948700934885096,0.00950057512863561,0.00826982730392924,0.012899662838950134,0.006528936834047868,0.004402050368943991,-0.00430529938920016,0.0073137551555556195,0.008809181623868182,-0.003932385716279517,-0.0056399983290011365,0.004108173748318938,0.00041296894692592205,0.007565965107734347,-0.004443202068076015,0.002865710406815286,-0.002027852948099768,0.018176474029970257,-0.005324078820518634,0.007525141642195216,0.01121747325938764,0.017636770722955452,0.004929837984544147,-0.0008475077512146352,0.014666574056199573,-0.003617233345390192,0.003406370796764645,0.009807466786722114,-0.0015995084625140903,0.005922455374014241
2020-01-14,-0.01359559527098847,-0.007068036285640274,-0.006577101175707775,-0.011625527046359843,-0.01882830226263949,-0.012926302444708174,0.024578286172624794,0.012232567000399524,0.00367944451237848,0.008326198917488366,-0.008633471455424131,0.011594540762688059,-0.014604379906989928,0.02297605215542762,0.005612430509039227,0.0025857462719558726,-0.0015227934866260688,-0.00040025177985322205,-0.00237585425028072,0.012916087992369783,-0.0027368669956519313,-0.008128732195071629,0.004444049076389299,0.00015352787204674738,-0.012246808236829741,0.016608396788275245,-0.013928459992848238,-0.008253686179406292,-0.006142256262854849,-0.0008440986500151286,0.0036426986876814497,0.010291148811404242,-0.0006786220482373651,0.0024064068252291704,0.01021529770509086,0.0002429252827926481,-0.007838263421076207,0.007124399929257358,-0.0013528163076753142
2020-01-15,-0.004294390497367105,0.006455258169423182,0.006000312220950355,-0.003977024437111101,-0.006939448733473999,0.009495532973824633,-0.03676981311758122,0.0032649543382087297,0.01894721599572681,0.02795024941893099,-0.0015907268727904317,-0.015098873129136018,0.011553941125160892,-0.01648931971012083,0.0033384651992272576,-0.007776951820460964,0.010133842859861856,0.0035631128408118483,0.007957046901073767,0.007058454860196135,0.008413975807379183,-0.004591156089332828,0.005612155068735226,-0.0021512457752235984,0.0011730452144209681,0.014862666029184953,0.014404654811846624,0.0024747484001569954,-0.004327810032453153,0.00794300056664864,-0.00819752912496055,0.04608502101521028,-0.0016988188695824529,0.005003016346232512,0.012279968244211464,0.008704109610654289,-0.006212387545977377,0.0023283001931782704,-0.007221058864291389
2020-01-16,0.012448450791931683,0.018157246101227556,0.007586511201215434,0.008513567549042408,0.013589742743220395,0.0027996420265401995,-0.00970946227670784,0.002265132856413576,0.0057391915569865665,0.014502508461749147,-0.003915379782671225,0.003869109107126458,0.019069584486018237,0.012815799947448128,0.008062331816112609,0.0053637824738081005,0.0008729933774348466,0.007320040842440781,0.018659218181258645,-0.004977037446686078,0.002713382065772766,-0.002093962073886249,0.005749643685177225,0.0010760553543838448,0.014076249790044206,-0.0014764378029659435,0.012859210325687829,0.012955771635849019,0.01463912824654882,0.012302948259784612,0.003326944181309277,-0.017462009025010047,-0.0008505750432596382,0.0028033455328489495,-0.005725240191849042,0.005042637974918104,0.006503862202383646,0.005271434232710041,0.005296083550392941
