Date,AAPL,MSFT,AMZN,NVDA,META,GOOGL,TSLA,AVGO,ADBE,PEP,COST,CSCO,TMUS,CMCSA,INTC,QCOM,TXN,AMGN,HON,INTU,AMAT,BKNG,SBUX,MDLZ,ISRG,GILD,VRTX,ADP,LRCX,ADI,REGN,MU,PANW,SNPS,KLAC,CDNS,MAR,CSX,NXPI,ORLY,FTNT,MCHP,AEP
2022-03-18,160.81539916992188,291.2919921875,161.25050354003906,26.406354904174805,214.9882354736328,135.1046905517578,301.7966613769531,56.54355239868164,453.3299865722656,144.5471649169922,535.9995727539062,49.737674713134766,122.86934661865234,38.66246032714844,44.34352111816406,141.4029998779297,160.9812774658203,209.86373901367188,169.49098205566406,467.2864685058594,130.57115173339844,2151.1123046875,81.79441833496094,55.41807174682617,290.1099853515625,51.78763961791992,249.0800018310547,198.18434143066406,52.20818328857422,153.02117919921875,682.15673828125,77.6711196899414,96.16999816894531,318.2099914550781,350.8504638671875,158.8699951171875,165.09576416015625,34.43320846557617,179.12937927246094,45.9986686706543,63.99399948120117,70.9298324584961,81.85176849365234
2022-03-21,162.1883544921875,290.06060791015625,161.4915008544922,26.686861038208008,210.02291870117188,135.08087158203125,307.0533447265625,56.075401306152344,453.5899963378906,144.3429412841797,530.4423217773438,49.764347076416016,121.70035552978516,38.46466064453125,44.287445068359375,142.8721923828125,161.30303955078125,209.92591857910156,168.01123046875,454.2671813964844,129.66294860839844,2126.59326171875,79.29315185546875,55.29193878173828,283.2799987792969,51.99680709838867,250.25999450683594,196.1903839111328,51.46241760253906,153.74208068847656,689.3766479492188,76.63433074951172,96.19999694824219,314.30999755859375,342.4216613769531,157.1999969482422,163.89990234375,34.95478439331055,177.35128784179688,45.698001861572266,62.90599822998047,70.26907348632812,82.3912353515625
2022-03-22,165.56201171875,294.81158447265625,164.88900756835938,26.477231979370117,215.14712524414062,138.81912231445312,331.32666015625,57.01264572143555,466.45001220703125,145.92347717285156,534.15673828125,49.91541290283203,121.42984771728516,38.91796112060547,45.22197723388672,144.72708129882812,162.992431640625,210.05917358398438,169.7607879638672,463.50830078125,130.89967346191406,2166.51025390625,80.23341369628906,55.47213363647461,286.44000244140625,52.27570724487305,251.8800048828125,198.6643524169922,52.411407470703125,154.2569580078125,688.8197631835938,77.38746643066406,99.56999969482422,325.2200012207031,346.9869689941406,160.1999969482422,164.49786376953125,34.8789176940918,174.7819366455078,45.79999923706055,65.13800048828125,70.1038818359375,82.87850189208984
2022-03-23,166.92518615722656,290.38055419921875,163.4080047607422,25.58880043029785,211.979248046875,137.23855590820312,333.03668212890625,55.89727020263672,422.8999938964844,145.15985107421875,529.0006103515625,48.41360092163086,120.5989990234375,38.341026306152344,45.109832763671875,140.37451171875,160.06951904296875,208.02491760253906,167.41934204101562,449.33984375,126.9769058227539,2124.980224609375,78.70890045166016,54.76036834716797,275.20001220703125,51.29084777832031,248.1300048828125,196.22731018066406,50.89971923828125,148.98617553710938,665.5288696289062,73.99345397949219,100.67333221435547,316.44000244140625,335.1654052734375,157.2899932861328,161.68177795410156,34.50908279418945,170.9092559814453,45.883331298828125,64.28600311279297,67.69947814941406,83.539794921875
2022-03-24,170.710693359375,294.85040283203125,163.64950561523438,28.100360870361328,218.04689025878906,140.5103302001953,337.97332763671875,58.41991424560547,432.1400146484375,146.0388946533203,532.9058837890625,48.43136978149414,121.42984771728516,38.571800231933594,48.240516662597656,145.5076141357422,164.65499877929688,210.4144744873047,169.4648895263672,453.4200134277344,133.90451049804688,2225.573974609375,79.53050231933594,54.82344436645508,281.0799865722656,51.543601989746094,251.6999969482422,200.27056884765625,53.318233489990234,154.4348602294922,676.0108032226562,76.49739074707031,103.6933364868164,325.55999755859375,351.6578369140625,162.1199951171875,165.85763549804688,34.784080505371094,177.88192749023438,46.68266677856445,67.14199829101562,71.2877426147461,83.91393280029297
2022-03-25,171.34817504882812,294.4431457519531,164.77349853515625,27.643171310424805,220.28126525878906,140.61058044433594,336.8800048828125,58.647464752197266,431.6199951171875,146.7226104736328,530.6141357421875,48.84903335571289,120.07730102539062,38.84378433227539,48.436767578125,145.05764770507812,165.271728515625,212.1200408935547,172.1632080078125,447.3045959472656,132.4262237548828,2211.73974609375,79.83174896240234,55.42708206176758,286.8699951171875,51.343143463134766,253.9499969482422,202.19992065429688,53.18402862548828,155.06211853027344,676.279296875,76.38978576660156,103.73332977294922,318.9100036621094,352.1865539550781,158.83999633789062,165.4140167236328,35.011680603027344,177.3047637939453,46.89066696166992,66.5459976196289,70.8105239868164,84.26199340820312
2022-03-28,172.21115112304688,301.2496032714844,168.99049377441406,28.16924285888672,222.03900146484375,140.3947296142578,363.9466552734375,59.021427154541016,450.010009765625,147.15769958496094,539.6851806640625,49.00010299682617,122.20272064208984,39.1734619140625,48.137718200683594,145.49842834472656,165.9689178466797,213.61241149902344,171.57131958007812,467.9000549316406,133.00596618652344,2240.164794921875,80.68072509765625,55.47213363647461,294.95001220703125,51.578468322753906,255.72000122070312,203.6861114501953,53.42271423339844,156.58807373046875,689.5755615234375,78.11125183105469,104.20833587646484,332.3800048828125,360.7498779296875,162.47000122070312,165.45260620117188,35.59014892578125,176.33656311035156,45.77000045776367,67.70600128173828,71.07665252685547,84.9319839477539
2022-03-29,175.5063018798828,305.81640625,169.31500244140625,28.605470657348633,228.26547241210938,141.43685913085938,366.5233459472656,59.82252502441406,466.3299865722656,149.34202575683594,544.23974609375,49.47108459472656,124.07698059082031,39.3795051574707,48.82927322387695,147.90426635742188,170.7331085205078,214.56288146972656,171.9456024169922,472.6325988769531,136.6581573486328,2333.733642578125,83.28243255615234,56.81455993652344,302.0,52.75506591796875,257.9800109863281,207.655517578125,54.53657913208008,159.32177734375,694.5778198242188,80.25331115722656,102.75166320800781,341.0,369.3805236816406,165.97000122070312,171.97193908691406,35.73240280151367,181.28912353515625,46.83466720581055,69.49600219726562,73.21491241455078,85.87171936035156
2022-03-30,174.3393096923828,304.3135070800781,166.30099487304688,27.64117431640625,226.26943969726562,140.8740997314453,364.663330078125,58.8544921875,460.05999755859375,149.13778686523438,550.4365844726562,49.80877685546875,124.2508773803711,39.305328369140625,48.06295394897461,140.24598693847656,167.55101013183594,215.47787475585938,171.07521057128906,459.57421875,131.20883178710938,2290.510986328125,83.09986114501953,56.850799560546875,304.44000244140625,51.99680709838867,256.5199890136719,210.24945068359375,52.58395767211914,155.8578338623047,688.5611572265625,77.4266128540039,102.625,332.5899963378906,359.2794494628906,163.30999755859375,170.1685028076172,35.846195220947266,174.3909454345703,46.435333251953125,68.38600158691406,70.1038818359375,86.50688934326172
2022-03-31,171.24024963378906,298.93231201171875,162.99749755859375,27.237890243530273,220.81752014160156,138.02462768554688,359.20001220703125,58.72299575805664,455.6199951171875,148.62277221679688,549.8447265625,49.55107116699219,123.99968719482422,38.588279724121094,46.31537628173828,140.32861328125,164.00247192382812,214.81166076660156,169.36912536621094,468.2310791015625,127.34406280517578,2310.641845703125,83.04508972167969,56.87797164916992,301.67999267578125,51.813785552978516,260.9700012207031,210.04640197753906,51.5343132019043,154.64080810546875,694.56787109375,76.18441772460938,103.75166320800781,333.2699890136719,351.8212890625,164.4600067138672,169.49343872070312,35.5142936706543,172.2963409423828,45.66400146484375,68.3479995727539,68.95674896240234,86.81143951416016
2022-04-01,170.94606018066406,300.0085144042969,163.55999755859375,26.664897918701172,223.2902374267578,139.0994873046875,361.5299987792969,58.4712028503418,458.19000244140625,150.73606872558594,549.577392578125,49.46221160888672,126.32799530029297,39.31357192993164,44.96031188964844,134.9751434326172,162.7510986328125,215.9664306640625,170.63121032714844,471.2400207519531,123.10248565673828,2329.7099609375,83.5197982788086,57.557464599609375,305.5400085449219,52.00551986694336,266.1499938964844,215.5481719970703,50.36867141723633,154.809326171875,690.9976196289062,74.51185607910156,101.85166931152344,334.9800109863281,346.2564392089844,165.6300048828125,167.49713134765625,33.674556732177734,169.44772338867188,44.49533462524414,67.802001953125,67.88301849365234,88.32543182373047
