Date,NSRGY,LVMUY,ASML,NVO,RHHBY,SHEL,AZN,TM,SAP,HSBC,SIEGY,IDEXY,SONY,DEO,BTI,UL,SNY,GSK,BP,VOW3.DE
2022-01-13,118.08685302734375,146.95924377441406,701.712890625,46.60859680175781,43.12816619873047,42.48667526245117,53.26500701904297,191.4112548828125,127.11489868164062,26.905603408813477,77.24584197998047,6.9506754875183105,24.403888702392578,185.0580596923828,30.544631958007812,52.51087188720703,43.21356964111328,38.248477935791016,25.534000396728516,125.2777328491211
2022-01-14,118.34580993652344,144.90399169921875,715.6013793945312,45.0918083190918,43.84290313720703,43.185577392578125,53.95259475708008,190.79550170898438,129.91139221191406,27.174654006958008,75.16393280029297,6.977003574371338,24.401933670043945,183.92568969726562,31.101449966430664,53.10760498046875,44.23577117919922,38.59649658203125,26.20465660095215,127.28156280517578
2022-01-17,118.34580993652344,144.90399169921875,715.6013793945312,45.0918083190918,43.84290313720703,43.185577392578125,53.95259475708008,190.79550170898438,129.91139221191406,27.174654006958008,75.16393280029297,6.977003574371338,24.401933670043945,183.92568969726562,31.101449966430664,53.10760498046875,44.23577117919922,38.59649658203125,26.20465660095215,126.93880462646484
2022-01-18,119.00662231445312,142.46572875976562,687.4397583007812,45.124576568603516,43.60756301879883,43.9621467590332,54.860206604003906,187.8795623779297,127.29261016845703,26.928665161132812,72.79486846923828,6.955063819885254,22.65181541442871,181.00115966796875,31.70223045349121,45.438358306884766,44.44021224975586,39.7424201965332,26.482728958129883,125.58094787597656
2022-01-19,117.2921142578125,147.93081665039062,671.66748046875,45.5459098815918,43.59885025024414,43.83272171020508,54.53016662597656,183.30638122558594,127.93792724609375,26.72879409790039,73.36021423339844,7.126197338104248,21.517658233642578,182.4277801513672,31.40917205810547,48.95016860961914,44.363555908203125,38.783241271972656,26.253726959228516,126.3587417602539
2022-01-20,117.3456802368164,147.55712890625,679.0106201171875,44.6891975402832,43.058441162109375,42.702396392822266,55.16274642944336,182.44610595703125,128.14369201660156,26.375179290771484,74.55372619628906,7.003332138061523,22.219661712646484,182.29400634765625,31.17472267150879,48.32411193847656,44.3720703125,38.095680236816406,25.648502349853516,125.71278381347656
2022-01-21,117.88145446777344,146.5948944091797,667.7363891601562,44.64238739013672,42.81438446044922,41.977596282958984,54.18178939819336,180.9066162109375,127.01200866699219,26.036935806274414,73.04613494873047,6.9506754875183105,21.82857322692871,181.2329864501953,31.16739273071289,48.23606491088867,43.64801025390625,38.28242492675781,25.116880416870117,123.6694107055664
2022-01-24,116.00621795654297,143.28781127929688,660.7102661132812,44.679832458496094,41.66382598876953,41.4167366027832,52.22904586791992,179.03207397460938,125.06661224365234,25.77556610107422,71.42189025878906,6.867301940917969,21.615432739257812,180.7604217529297,31.922029495239258,52.373931884765625,43.307273864746094,37.6712646484375,24.51983642578125,116.35287475585938
2022-01-25,114.80069732666016,141.7744140625,623.3698120117188,44.54875564575195,41.09727478027344,42.9181022644043,53.03581237792969,178.40719604492188,123.75721740722656,26.521236419677734,70.70398712158203,6.8365864753723145,21.494192123413086,179.11090087890625,31.58501625061035,51.57179260253906,43.784305572509766,37.662784576416016,25.681215286254883,117.49979400634766
2022-01-26,113.52375030517578,142.47506713867188,627.8776245117188,43.58436965942383,40.96652603149414,43.92763137817383,52.36656188964844,175.8353729248047,123.71979522705078,26.95172882080078,70.6322021484375,6.753213405609131,21.515703201293945,176.6410675048828,31.196706771850586,50.19249725341797,43.716156005859375,37.476036071777344,25.763004302978516,120.63734436035156
2022-01-27,113.17549896240234,149.68711853027344,610.0003662109375,44.679832458496094,41.57666778564453,44.1002082824707,54.56684112548828,172.02293395996094,114.46044921875,27.482152938842773,69.9322509765625,6.65228796005249,20.135164260864258,179.11981201171875,31.291948318481445,50.084896087646484,45.02798080444336,38.825687408447266,25.787540435791016,122.7729721069336
2022-01-28,113.97023010253906,150.27566528320312,619.90966796875,45.297794342041016,42.108360290527344,44.03980255126953,54.36514663696289,174.89358520507812,114.07698059082031,27.25153350830078,69.53740692138672,6.674228191375732,20.891918182373047,180.10061645507812,31.423824310302734,50.182716369628906,44.92576217651367,38.40974807739258,25.411312103271484,121.0196533203125
2022-01-31,115.3186264038086,152.64854431152344,650.887451171875,46.753726959228516,42.3524169921875,44.35042953491211,53.36585998535156,179.7112579345703,117.1073226928711,27.34378433227539,70.8386001586914,6.656675815582275,21.834442138671875,181.8482208251953,31.482437133789062,50.27075958251953,44.295406341552734,38.04475402832031,25.28863525390625,120.83509063720703
2022-02-01,115.85441589355469,155.02137756347656,655.001220703125,48.031761169433594,42.709781646728516,45.45487594604492,52.87995529174805,177.88198852539062,119.41748046875,28.35081672668457,71.51163482666016,6.704944610595703,22.01042938232422,183.85440063476562,31.658273696899414,50.01642990112305,43.980228424072266,38.35882568359375,25.975648880004883,122.15338134765625
2022-02-02,117.19387817382812,154.23667907714844,660.0663452148438,49.899662017822266,42.509307861328125,45.94670104980469,54.099281311035156,180.8070068359375,118.9217758178711,28.619869232177734,71.43983459472656,6.577690601348877,21.949811935424805,187.2069091796875,31.848764419555664,50.084896087646484,44.755393981933594,38.79173278808594,26.13922691345215,121.54695892333984
2022-02-03,115.39899444580078,151.23788452148438,620.8324584960938,48.98209762573242,41.062408447265625,46.51617431640625,52.559085845947266,180.68927001953125,115.79791259765625,28.396942138671875,69.7886734008789,6.446049213409424,21.124614715576172,183.61361694335938,32.04658508300781,50.652259826660156,44.6872444152832,38.129638671875,26.294620513916016,119.79363250732422
2022-02-04,115.193603515625,152.1253662109375,627.4451904296875,46.66009521484375,40.70504379272461,47.54296875,51.083065032958984,178.2895050048828,117.97713470458984,28.519943237304688,68.79259490966797,6.345124244689941,21.337757110595703,182.9181671142578,31.965993881225586,50.280540466308594,44.363555908203125,38.027774810791016,26.891664505004883,116.10240173339844
2022-02-07,114.98823547363281,153.25576782226562,624.7732543945312,47.638519287109375,40.739906311035156,48.069297790527344,51.96318435668945,178.61550903320312,118.67859649658203,28.865869522094727,69.2322998046875,6.222258567810059,21.46095085144043,183.26589965820312,31.922029495239258,51.11202621459961,45.1898307800293,38.18906021118164,27.267887115478516,115.97056579589844
2022-02-08,114.16668701171875,151.49012756347656,628.0795288085938,47.54020309448242,41.01882553100586,47.15468978881836,51.9356803894043,181.40469360351562,117.55626678466797,29.403982162475586,69.986083984375,6.419720649719238,21.464862823486328,183.1588897705078,32.354305267333984,51.16093826293945,45.6668586730957,38.3842887878418,26.83441734313965,116.31332397460938
2022-02-09,115.193603515625,153.8069305419922,653.9342651367188,49.58600616455078,42.00376510620117,47.24959945678711,52.439903259277344,182.35552978515625,118.11742401123047,29.058048248291016,70.82962036132812,6.520645618438721,21.795333862304688,185.1383514404297,32.383609771728516,51.00442886352539,45.700927734375,37.56940841674805,26.981637954711914,123.43212127685547
2022-02-10,113.28264617919922,150.46249389648438,631.3570556640625,48.71525573730469,41.559234619140625,47.042510986328125,53.723392486572266,176.052734375,115.8353271484375,29.104175567626953,73.67430114746094,6.538197994232178,21.492238998413086,182.0532684326172,32.57410430908203,50.104469299316406,45.08760452270508,37.722190856933594,27.03888511657715,123.44532012939453
2022-02-11,114.55066680908203,142.45639038085938,603.829833984375,46.30430603027344,40.722476959228516,47.63787841796875,53.21000671386719,174.5132598876953,112.55245971679688,29.065738677978516,72.54292297363281,6.305631637573242,21.077688217163086,179.88662719726562,33.87091064453125,51.581581115722656,44.92576217651367,37.60335922241211,27.17792510986328,124.34175109863281
2022-02-14,113.40766906738281,140.93362426757812,603.5126342773438,45.94382858276367,40.29537582397461,46.921714782714844,52.751609802246094,171.1264190673828,110.69123840332031,28.850488662719727,72.6536636352539,6.266138553619385,20.944717407226562,176.93531799316406,34.12733840942383,50.47618865966797,44.50836181640625,36.389522552490234,26.53998565673828,120.42640686035156
2022-02-15,114.01488494873047,147.34226989746094,630.9052124023438,47.45125961303711,40.89679718017578,46.136531829833984,55.281925201416016,171.5157928466797,112.46829223632812,28.765932083129883,75.17295837402344,6.296855926513672,21.208698272705078,178.32626342773438,34.068729400634766,50.368587493896484,45.164276123046875,37.02615737915039,26.302799224853516,124.05172729492188
2022-02-16,114.21134185791016,147.18344116210938,638.065673828125,48.29859924316406,41.463356018066406,46.628353118896484,55.77699279785156,172.33084106445312,113.08558654785156,28.566059112548828,75.07144927978516,6.384616374969482,20.829343795776367,177.14932250976562,34.383766174316406,50.75008773803711,45.59871292114258,36.8309211730957,26.56452178955078,122.61479187011719
2022-02-17,114.04168701171875,144.04452514648438,625.1575927734375,47.9615364074707,40.67889404296875,46.274574279785156,55.91450881958008,168.92587280273438,110.21424102783203,28.058696746826172,72.55215454101562,6.318795680999756,20.494964599609375,177.03341674804688,34.56694030761719,50.5642204284668,45.0364990234375,36.77149963378906,26.67853546142578,121.2833023071289
2022-02-18,114.48817443847656,145.30569458007812,622.6586303710938,47.19377899169922,40.39125442504883,45.93807601928711,54.87854766845703,171.1264190673828,108.22208404541016,28.297008514404297,71.17713928222656,6.305631637573242,20.381549835205078,178.04986572265625,34.068729400634766,51.16093826293945,44.72132110595703,36.5338249206543,26.248905181884766,118.71263122558594
2022-02-21,114.48817443847656,145.30569458007812,622.6586303710938,47.19377899169922,40.39125442504883,45.93807601928711,54.87854766845703,171.1264190673828,108.22208404541016,28.297008514404297,71.17713928222656,6.305631637573242,20.381549835205078,178.04986572265625,34.068729400634766,51.16093826293945,44.72132110595703,36.5338249206543,26.248905181884766,115.33777618408203
2022-02-22,114.75605010986328,141.456787109375,615.3923950195312,46.45878982543945,40.67889404296875,45.44624710083008,55.749488830566406,168.11085510253906,106.21121978759766,28.512252807617188,68.63938903808594,6.108168601989746,20.078454971313477,177.69320678710938,33.76101303100586,50.23162841796875,44.363555908203125,36.23673629760742,25.662288665771484,124.38129425048828
2022-02-23,115.22933197021484,139.57904052734375,607.18408203125,45.72848129272461,40.5394287109375,45.411739349365234,55.501953125,166.4807891845703,103.79817962646484,28.40462875366211,67.95650482177734,6.068676948547363,19.81056022644043,177.6218719482422,33.966148376464844,50.47618865966797,44.73836135864258,36.60173416137695,25.72012710571289,123.31348419189453
2022-02-24,112.40752410888672,135.95433044433594,631.318603515625,46.323028564453125,40.46098709106445,44.51436996459961,54.17393493652344,165.0228271484375,104.70539855957031,26.821044921875,65.28955078125,5.884377956390381,19.943531036376953,173.470703125,31.99529457092285,48.44876480102539,43.639488220214844,35.4752197265625,24.100740432739258,116.07603454589844
2022-02-25,114.63103485107422,141.316650390625,641.1991577148438,48.10198974609375,41.515655517578125,46.77503204345703,56.45719909667969,167.87539672851562,107.57674407958984,27.88189125061035,67.77193450927734,5.994080066680908,20.35417366027832,181.4962615966797,33.10161590576172,49.92020034790039,45.1898307800293,36.758480072021484,25.389636993408203,122.15338134765625
2022-02-28,116.11337280273438,136.15985107421875,640.6128540039062,48.19560623168945,41.1670036315918,45.204647064208984,56.736778259277344,165.67483520507812,105.29463958740234,26.55198860168457,64.48670196533203,5.717632293701172,20.04912567138672,179.4651641845703,32.41291809082031,49.64369583129883,44.67873001098633,36.05224609375,24.133787155151367,117.35478210449219
2022-03-01,116.45270538330078,129.45230102539062,609.56787109375,48.49990463256836,41.32389450073242,44.66968536376953,57.16548156738281,164.55194091796875,102.18013000488281,25.491134643554688,61.38602066040039,5.520170211791992,19.72256851196289,176.472412109375,31.90738296508789,48.132747650146484,43.49468231201172,35.785255432128906,23.538909912109375,108.4167251586914
2022-03-02,116.10444641113281,132.35768127441406,629.9056396484375,49.00082015991211,40.98395919799805,47.12879943847656,57.78056335449219,162.23365783691406,105.86516571044922,26.175302505493164,63.443904876708984,5.533334255218506,19.894643783569336,175.35800170898438,32.42756652832031,48.063621520996094,43.49468231201172,36.19865417480469,24.87738609313965,105.46375274658203
2022-03-03,114.86321258544922,126.62165832519531,606.2806396484375,48.813568115234375,40.38254165649414,44.307281494140625,55.98190689086914,159.4626007080078,101.9556655883789,25.56032371520996,61.912025451660156,5.125245571136475,19.59937286376953,172.9314727783203,31.394506454467773,47.10570526123047,42.745059967041016,35.69913101196289,23.745468139648438,102.4052963256836
2022-03-04,113.3808822631836,118.62491607666016,571.2278442382812,48.73866271972656,40.1297721862793,42.6161003112793,53.55885314941406,154.6268310546875,99.23397827148438,24.007484436035156,57.09490203857422,4.897066593170166,19.255216598510742,168.2131805419922,30.354137420654297,45.11087417602539,41.29694366455078,34.605342864990234,23.142330169677734,95.24694061279297
2022-03-07,108.39808654785156,113.1504898071289,552.024169921875,47.212501525878906,39.49348068237305,44.488487243652344,52.65486145019531,145.0458526611328,98.17710876464844,23.51549530029297,56.2828254699707,4.664499759674072,18.737024307250977,158.18348693847656,28.93277931213379,43.33330154418945,41.39064407348633,33.985233306884766,23.547176361083984,90.13195037841797
2022-03-08,106.40674591064453,115.03755950927734,550.7745971679688,47.89599609375,40.365108489990234,45.67921829223633,53.763877868652344,141.5775146484375,99.33685302734375,24.1151123046875,59.36504364013672,5.107692718505859,19.049894332885742,159.882080078125,28.947431564331055,43.16542053222656,42.76210021972656,34.43308639526367,24.579946517944336,89.5387191772461
2022-03-09,111.51456451416016,124.669189453125,597.1979370117188,49.18339538574219,41.812007904052734,44.61791229248047,56.31740951538086,148.55950927734375,104.61187744140625,24.73777961730957,64.91118621826172,5.467513561248779,19.229795455932617,168.17726135253906,29.899892807006836,44.85411834716797,44.23577117919922,35.60439682006836,23.985074996948242,99.08319854736328
2022-03-10,109.53215789794922,121.78250122070312,576.75439453125,48.90251541137695,40.93165969848633,44.60066223144531,56.75542068481445,148.9036102294922,101.48802185058594,24.72987174987793,62.80716323852539,5.213006019592285,19.5895938873291,160.18765258789062,30.075725555419922,43.79744338989258,43.784305572509766,35.16515350341797,23.985074996948242,94.77235412597656
2022-03-11,107.15684509277344,119.51239013671875,563.0869140625,47.40444564819336,40.46098709106445,43.944889068603516,56.19625473022461,143.3252716064453,100.71173095703125,24.61124610900879,63.65616226196289,5.173513889312744,19.028385162353516,157.8509521484375,29.203859329223633,43.40242385864258,43.196533203125,34.9326171875,23.357147216796875,94.71961975097656
2022-03-14,108.64810943603516,120.18500518798828,555.109375,47.629150390625,41.2105827331543,43.1079216003418,56.280128479003906,145.8789825439453,102.92835998535156,25.172748565673828,64.97579193115234,5.309543609619141,18.535615921020508,161.50875854492188,28.96940803527832,43.79744338989258,42.872840881347656,35.11348342895508,23.01839828491211,98.87226104736328
2022-03-15,110.23760223388672,121.3154067993164,573.5152587890625,47.9615364074707,41.70741271972656,43.44443130493164,57.19343566894531,150.261962890625,103.56436157226562,24.951309204101562,65.1788101196289,5.278826713562012,19.182863235473633,164.39364624023438,29.606826782226562,43.836952209472656,44.150596618652344,35.91444778442383,23.175376892089844,99.53141021728516
2022-03-16,110.41620635986328,130.4799041748047,625.3497314453125,49.73581314086914,41.89045715332031,43.34088897705078,57.743282318115234,155.6591796875,107.08103942871094,25.844968795776367,69.78369140625,5.217394828796387,20.092144012451172,171.52047729492188,29.81196403503418,44.51835250854492,44.21022033691406,36.25895309448242,23.638059616088867,102.58985137939453
2022-03-17,113.18441772460938,131.087158203125,628.6849975585938,51.42582321166992,42.960208892822266,44.75596237182617,59.3369026184082,155.52337646484375,108.22208404541016,26.26412010192871,68.9531478881836,5.142796993255615,20.45781135559082,175.55572509765625,30.251569747924805,44.75535583496094,44.80649948120117,37.0771484375,23.99333381652832,102.47122192382812
2022-03-18,116.32769012451172,133.7402801513672,653.444091796875,52.18421936035156,43.99863052368164,44.143348693847656,58.92685317993164,155.4871368408203,107.89473724365234,26.256214141845703,69.59912109375,5.068201065063477,20.751127243041992,178.18899536132812,30.6691837310791,44.73561477661133,44.3720703125,37.05131530761719,23.745468139648438,101.45611572265625
2022-03-21,114.97929382324219,130.07821655273438,656.3756103515625,51.584991455078125,43.7927360534668,46.11064147949219,59.15983963012695,155.57769775390625,104.6305923461914,26.098045349121094,67.70734405517578,5.068201065063477,20.4245662689209,176.55332946777344,30.661855697631836,44.51835250854492,43.400978088378906,36.89628982543945,24.621253967285156,101.35064697265625
2022-03-22,115.2561264038086,132.217529296875,661.9791259765625,51.31346130371094,43.93596649169922,45.7913818359375,59.32758712768555,156.50137329101562,105.43492889404297,26.97588539123535,68.05801391601562,5.0506486892700195,20.674861907958984,179.6808319091797,31.0721378326416,44.95286560058594,44.04836654663086,37.23217010498047,24.513845443725586,102.16800689697266
2022-03-23,113.63089752197266,127.87350463867188,639.5074462890625,51.20111083984375,43.9538688659668,47.23234176635742,59.94266891479492,159.18186950683594,102.68518829345703,26.517189025878906,65.8893814086914,5.006767272949219,20.365901947021484,177.5778350830078,30.881656646728516,44.182586669921875,43.94614791870117,36.95656967163086,25.414424896240234,100.62560272216797
