Date,PEP,COST,AZN,MSFT,SAP,AAPL,NVDA,GOOG,SHEL,ABBV,XOM,LVMUY,WMT,MCD,RHHBY,JPM,ASML,GOOGL,TSLA,V,AMZN,NVO,UNH,META,HD,PG,KO,JNJ,TM,MRK,AVGO,LLY,HSBC,NSRGY,MA
2024-05-28,162.77737426757812,806.726806640625,74.5610122680664,425.54852294921875,190.79493713378906,188.7082977294922,113.84290313720703,176.69476318359375,67.51439666748047,146.36978149414062,109.01309204101562,157.75733947753906,64.09821319580078,243.27529907226562,30.292634963989258,192.23727416992188,978.3739624023438,175.07716369628906,176.75,268.0208740234375,182.14999389648438,129.99676513671875,485.90423583984375,477.0965270996094,314.9092712402344,157.03819274902344,58.73482894897461,137.92967224121094,211.44586181640625,119.0430908203125,138.70791625976562,799.4359741210938,40.907447814941406,97.37390899658203,440.63421630859375
2024-05-29,160.6837158203125,800.1295166015625,74.03553009033203,424.4112548828125,188.6641845703125,189.00628662109375,114.76643371582031,176.07936096191406,67.24147033691406,145.8515625,107.84569549560547,152.56704711914062,63.97994613647461,239.27413940429688,30.32166862487793,190.89788818359375,944.8656005859375,174.58090209960938,176.19000244140625,265.92401123046875,182.02000427246094,128.63938903808594,467.6134033203125,471.5692138671875,312.236328125,155.6325225830078,58.620811462402344,137.9869842529297,206.83450317382812,118.86370849609375,136.56903076171875,803.0678100585938,40.51838302612305,96.57949829101562,438.05035400390625
2024-05-30,160.05470275878906,808.879638671875,74.70697784423828,410.0720520019531,178.63487243652344,189.99952697753906,110.44364166259766,172.26795959472656,67.24147033691406,147.28378295898438,108.1873779296875,155.03536987304688,63.95038986206055,241.8648223876953,30.553945541381836,192.07347106933594,952.9935302734375,170.8193359375,178.7899932861328,268.33734130859375,179.32000732421875,128.7557373046875,464.6517333984375,464.3022155761719,317.56146240234375,156.52792358398438,58.877342224121094,138.78945922851562,207.0471954345703,117.57027435302734,133.9578094482422,806.5608520507812,41.04640197753906,100.60000610351562,437.6840515136719
2024-05-31,162.32669067382812,803.4728393554688,75.92338562011719,410.5269775390625,180.8052520751953,190.95306396484375,109.57709503173828,172.66497802734375,68.4931411743164,151.92910766601562,111.2909164428711,156.82073974609375,64.80778503417969,248.40869140625,30.979782104492188,195.25335693359375,947.3019409179688,171.2064208984375,178.0800018310547,269.48468017578125,176.44000244140625,131.16021728515625,477.88751220703125,464.08355712890625,323.0506591796875,158.41494750976562,59.789432525634766,140.11734008789062,210.27610778808594,118.52381896972656,130.4686279296875,811.785888671875,41.361358642578125,102.9832534790039,442.6043395996094
2024-06-03,160.75881958007812,808.9292602539062,76.8673095703125,408.934814453125,182.58912658691406,192.72105407714844,114.94134521484375,173.12155151367188,66.6391830444336,150.93972778320312,108.62395477294922,156.67440795898438,64.8669204711914,250.85203552246094,31.299163818359375,194.4728546142578,952.3622436523438,171.87136840820312,176.2899932861328,267.4273986816406,178.33999633789062,131.4898681640625,479.88446044921875,474.68084716796875,316.4327697753906,158.52085876464844,59.789432525634766,141.13954162597656,205.11370849609375,121.24286651611328,129.81558227539062,822.5919799804688,41.57442092895508,104.14580535888672,438.76312255859375
2024-06-04,163.2561798095703,820.834228515625,77.86963653564453,411.45654296875,182.56930541992188,193.03890991210938,116.37762451171875,173.82626342773438,65.96158599853516,152.77713012695312,106.9345703125,156.70367431640625,65.6356201171875,253.72027587890625,31.83146095275879,191.90966796875,937.8915405273438,172.4867401123047,174.77000427246094,269.4451599121094,179.33999633789062,135.65890502929688,487.6504211425781,474.1837463378906,316.6739807128906,160.7930145263672,60.7490234375,141.19686889648438,203.38323974609375,121.51666259765625,130.69155883789062,823.9080810546875,41.259464263916016,106.4709243774414,440.32733154296875
2024-06-05,162.88063049316406,827.6893920898438,78.16157531738281,419.3085021972656,187.0587158203125,194.54864501953125,122.3775634765625,175.7518310546875,65.69808197021484,155.88656616210938,107.36166381835938,160.73297119140625,66.11852264404297,251.08377075195312,31.976634979248047,190.07882690429688,1027.1915283203125,174.0946044921875,175.0,271.5024108886719,181.27999877929688,136.70602416992188,485.3640441894531,492.1474609375,318.6033935546875,159.8687744140625,60.73002243041992,139.44862365722656,201.40142822265625,122.21529388427734,138.77078247070312,823.0867919921875,40.898189544677734,105.9962158203125,442.198486328125
2024-06-06,162.6083526611328,835.9633178710938,78.65787506103516,419.8128356933594,191.3102569580078,193.16799926757812,120.9363021850586,177.02232360839844,66.1121597290039,158.83583068847656,108.16838836669922,161.98175048828125,66.17765045166016,251.78875732421875,32.40247344970703,189.7415771484375,1038.308349609375,175.40467834472656,177.94000244140625,274.0146789550781,185.0,138.06336975097656,484.2063903808594,490.8551330566406,319.41375732421875,162.19866943359375,60.948543548583984,139.87852478027344,203.05453491210938,123.22551727294922,137.61000061035156,828.55908203125,41.259464263916016,106.86812591552734,444.19830322265625
2024-06-07,161.84664916992188,838.8800048828125,77.86963653564453,419.1502685546875,189.38766479492188,195.561767578125,120.82635498046875,174.64016723632812,65.3592758178711,159.63673400878906,107.01050567626953,160.537841796875,64.9260482788086,247.43325805664062,32.470218658447266,192.67091369628906,1014.4472045898438,173.15171813964844,177.47999572753906,275.6269226074219,184.3000030517578,138.52877807617188,473.37274169921875,490.0597839355469,315.48736572265625,160.84117126464844,60.72052764892578,140.50904846191406,199.4969482421875,123.36710357666016,138.13735961914062,841.1266479492188,41.157562255859375,105.60869598388672,445.2972106933594
2024-06-10,156.98291015625,841.6182250976562,78.05453491210938,423.1257019042969,188.53536987304688,191.8171844482422,121.72789764404297,175.51461791992188,66.47918701171875,160.61671447753906,107.3237075805664,156.98658752441406,65.99040222167969,245.11549377441406,32.38311767578125,192.3433074951172,1027.5565185546875,173.8969268798828,173.7899932861328,272.0365295410156,187.05999755859375,139.2559356689453,477.5306091308594,499.6430969238281,320.8221740722656,161.120361328125,60.41649627685547,140.5568084716797,201.1017303466797,124.14131164550781,141.4595947265625,855.9801635742188,41.231666564941406,103.4676513671875,444.7625732421875
