Date,AAPL,MSFT,AMZN,NVDA,GOOGL,GOOG,META,TSLA,LLY,AVGO,JPM,V,XOM,UNH,MA,PG,JNJ,HD,COST,MRK,ABBV,CVX,CRM,BAC,WMT,AMD,PEP,NFLX,KO,LIN,ADBE,DIS,TMO,MCD,CSCO,ACN,ABT,DHR,INTU,WFC,QCOM,TXN,GE,VZ,AMGN,INTC,IBM,PM,CAT
2019-05-06,49.76987075805664,120.41520690917969,97.52749633789062,4.463437557220459,59.22550964355469,59.026790618896484,192.5350799560547,17.022666931152344,106.7015380859375,26.044254302978516,95.65160369873047,154.82147216796875,56.32731246948242,215.28041076660156,239.46011352539062,89.84573364257812,117.49687194824219,169.33847045898438,221.7150421142578,61.46757888793945,59.51825714111328,87.93727111816406,160.54928588867188,25.8445987701416,30.928157806396484,27.420000076293945,103.77394104003906,37.867000579833984,39.42404556274414,161.68801879882812,283.6600036621094,130.30152893066406,274.1385803222656,170.1163330078125,44.674163818359375,160.7781524658203,70.21633911132812,115.14969635009766,237.65293884277344,40.25421905517578,75.37384033203125,96.33711242675781,50.411373138427734,38.90214920043945,143.95933532714844,44.63211441040039,100.08456420898438,59.944644927978516,118.86387634277344
2019-05-07,48.42822265625,117.94395446777344,96.05000305175781,4.29616641998291,58.50099182128906,58.26799011230469,188.45359802246094,16.470666885375977,105.13736724853516,25.686491012573242,94.0891342163086,152.84664916992188,56.02790832519531,213.0873565673828,236.01223754882812,89.0125732421875,115.74378204345703,165.21595764160156,218.03836059570312,60.24563980102539,58.5345458984375,87.84071350097656,155.01649475097656,25.378093719482422,30.578006744384766,26.65999984741211,102.72211456298828,37.04600143432617,39.04175567626953,158.0130615234375,277.07000732421875,128.7958221435547,267.00408935546875,169.3807830810547,43.74124526977539,158.6619415283203,68.29817962646484,112.51602172851562,233.76028442382812,39.20692825317383,72.76886749267578,94.73234558105469,48.864707946777344,38.71073913574219,141.36572265625,43.987281799316406,98.13107299804688,59.45873260498047,116.17823791503906
2019-05-08,48.43776321411133,117.93455505371094,95.88849639892578,4.316267490386963,58.10001754760742,57.87939453125,188.2251739501953,16.32266616821289,106.33565521240234,25.360488891601562,93.59048461914062,153.3713836669922,56.115535736083984,214.07199096679688,236.2722625732422,89.32716369628906,115.59494018554688,165.55523681640625,219.09144592285156,60.46219253540039,58.5645866394043,87.26881408691406,154.9769744873047,25.27630043029785,30.27615737915039,27.09000015258789,102.75472259521484,36.4370002746582,38.91975021362305,159.79620361328125,276.7699890136719,130.29188537597656,265.83465576171875,169.3722381591797,43.757606506347656,158.55247497558594,67.68547821044922,113.36807250976562,233.48291015625,39.06562805175781,72.20516204833984,93.59318542480469,49.106380462646484,38.53984832763672,139.96722412109375,42.90678024291992,98.38772583007812,59.0220947265625,114.68331146240234
2019-05-09,47.91734313964844,117.92516326904297,94.99349975585938,4.223697185516357,57.960567474365234,57.68634796142578,187.3413543701172,16.131999969482422,105.92402648925781,25.416494369506836,93.51567077636719,152.46505737304688,56.06439971923828,213.01571655273438,236.2530059814453,88.62152099609375,114.7183837890625,165.05477905273438,221.62203979492188,60.57819747924805,58.504512786865234,90.00942993164062,154.43357849121094,25.199962615966797,30.20635414123535,27.209999084472656,102.77920532226562,36.275001525878906,38.55374526977539,156.90878295898438,275.7900085449219,128.9405975341797,264.3506774902344,169.11566162109375,43.30751419067383,159.13629150390625,67.86306762695312,113.04104614257812,230.78578186035156,39.22508239746094,71.55603790283203,93.25225830078125,48.5263786315918,38.60820770263672,140.55262756347656,40.62376022338867,97.637451171875,59.10661697387695,114.03143310546875
2019-05-10,47.25352096557617,119.45677185058594,94.4990005493164,4.189699649810791,57.94418716430664,57.7801399230957,187.0335235595703,15.968000411987305,106.30821990966797,25.40813636779785,93.50736999511719,153.32363891601562,56.55190658569336,215.36097717285156,238.2947540283203,90.12631225585938,114.98299407958984,165.05477905273438,224.85342407226562,60.46993637084961,58.1590690612793,90.60359954833984,158.02001953125,25.089704513549805,30.925559997558594,27.959999084472656,104.3773422241211,36.104000091552734,39.19630432128906,164.3672637939453,278.4800109863281,129.3749237060547,264.527587890625,171.04859924316406,43.66759490966797,158.99032592773438,67.88973236083984,113.33367919921875,233.97071838378906,39.569156646728516,73.31546020507812,93.62642669677734,48.96138381958008,38.90214920043945,139.72332763671875,40.25777816772461,97.62301635742188,59.53620529174805,114.15312957763672
2019-05-13,44.507171630859375,115.90492248535156,91.13400268554688,3.9323413372039795,56.40332794189453,56.18014144897461,180.2806854248047,15.133999824523926,104.61598205566406,24.523744583129883,90.96417236328125,150.09898376464844,55.9240608215332,214.4300537109375,232.46812438964844,90.2113265991211,113.45321655273438,161.45811462402344,220.2110137939453,59.68107986450195,57.723541259765625,89.452392578125,151.3115234375,23.961597442626953,30.31256675720215,26.239999771118164,103.68427276611328,34.5260009765625,39.08241653442383,163.54359436035156,267.70001220703125,126.76890563964844,256.567626953125,170.22747802734375,41.98176574707031,155.99844360351562,67.04606628417969,111.4229965209961,226.606201171875,38.88099670410156,71.6500015258789,89.06153869628906,47.70472717285156,38.79277801513672,136.26783752441406,39.00299835205078,94.80947875976562,58.94463348388672,108.90350341796875
2019-05-14,45.21174621582031,117.20161437988281,92.00599670410156,4.021435737609863,55.821224212646484,55.60495376586914,179.47630310058594,15.487333297729492,105.13736724853516,25.24429702758789,91.687255859375,152.84664916992188,55.99791717529297,211.63719177246094,236.8597869873047,89.77774810791016,113.1390151977539,162.54397583007812,220.9484100341797,59.87443542480469,58.90249252319336,90.34364318847656,156.17247009277344,24.275432586669922,30.433944702148438,27.31999969482422,103.88813018798828,34.56100082397461,39.60297775268555,163.7608184814453,271.8599853515625,128.56419372558594,262.7685546875,169.35513305664062,42.57099151611328,158.36094665527344,67.5167465209961,112.53325653076172,230.4893341064453,39.01527786254883,73.56316375732422,90.66632080078125,49.87971878051758,38.65605163574219,136.43858337402344,39.360252380371094,96.17295837402344,59.21929168701172,110.78954315185547
2019-05-15,45.75333023071289,118.85206604003906,93.55750274658203,3.9603841304779053,58.10100555419922,57.777156829833984,184.97789001464844,15.463333129882812,105.75935363769531,25.442405700683594,91.33818817138672,155.3080596923828,56.41156768798828,211.3239288330078,239.9512481689453,90.7129135131836,113.21342468261719,162.6626739501953,222.71429443359375,59.97496795654297,59.15781021118164,90.71500396728516,153.1986083984375,23.995529174804688,30.309532165527344,27.579999923706055,105.469970703125,35.499000549316406,40.00153350830078,163.7064971923828,276.82000732421875,129.99267578125,258.4937438964844,170.26177978515625,42.91470718383789,159.99368286132812,67.94298553466797,112.79147338867188,232.54562377929688,38.46978759765625,73.67417907714844,91.7056655883789,49.5897102355957,38.833797454833984,138.1134796142578,39.75237274169922,96.95930480957031,60.099586486816406,110.64179992675781
2019-05-16,45.552040100097656,121.59656524658203,95.37850189208984,3.9755234718322754,58.78086471557617,58.51016616821289,185.69288635253906,15.222000122070312,107.37370300292969,24.850587844848633,92.5100326538086,157.5343475341797,56.40419006347656,211.95947265625,244.0635986328125,91.91165924072266,114.28839111328125,163.1886444091797,225.23573303222656,61.19689178466797,59.698486328125,90.60249328613281,156.57754516601562,24.249984741210938,30.743480682373047,28.010000228881836,106.2201156616211,35.930999755859375,40.326873779296875,169.8524932861328,283.54998779296875,130.7841339111328,262.4049987792969,171.04859924316406,45.77077102661133,162.5204315185547,68.02289581298828,113.84146881103516,236.76348876953125,38.520145416259766,70.72756958007812,90.80767822265625,48.96138381958008,39.22342300415039,139.34359741210938,39.673954010009766,98.02702331542969,60.219295501708984,110.04206085205078
2019-05-17,45.293216705322266,120.78549194335938,93.44999694824219,3.8846912384033203,58.00075912475586,57.682373046875,184.01461791992188,14.0686674118042,106.71141052246094,24.232009887695312,92.06124877929688,156.78904724121094,56.07179260253906,216.068115234375,243.22572326660156,91.35054779052734,114.61918640136719,163.35826110839844,226.06405639648438,60.87981414794922,59.66844177246094,90.39248657226562,152.71450805664062,24.08883285522461,30.606914520263672,27.5,106.41580963134766,35.44499969482422,40.01780319213867,171.07449340820312,279.8500061035156,130.34014892578125,257.2063903808594,170.39002990722656,46.114479064941406,162.66636657714844,67.46347045898438,112.83451080322266,234.7550048828125,38.352294921875,69.60870361328125,88.79544830322266,48.33304977416992,39.708763122558594,139.33534240722656,39.116268157958984,96.90160369873047,61.13479995727539,106.6958999633789
